gender,body_type,season,occasion,fabrics
Men,V-Shape,Winter,Ethnic,Polyester
Men,Rectangle,Spring,Casual,Cotton
Men,Triangle,Autumn,Gym/Sport,Denim
Women,Triangle,Spring,Business,Rayon
Women,Triangle,Autumn,Party,Silk
Men,Apple,Spring,Ethnic,Twill
Women,Triangle,Winter,Ethnic,Silk
Men,Rectangle,Summer,Casual,Cotton
Women,Rectangle,Winter,Business,Rayon
Women,Round,Summer,Party,Linen
Men,Rectangle,Autumn,Business,Denim
Women,Hourglass,Winter,Ethnic,Velvet
Women,Round,Winter,Party,Cotton
Women,Round,Winter,Casual,Denim
Women,Triangle,Spring,Ethnic,Chiffon
Men,Apple,Summer,Party,Denim
Men,Apple,Spring,Ethnic,Cotton
Men,Rectangle,Spring,Casual,Polyester
Women,Rectangle,Autumn,Party,Denim
Women,Triangle,Winter,Gym/Sport,Rayon
Women,Inverted Triangle,Spring,Business,Denim
Men,V-Shape,Summer,Casual,Wool
Women,Hourglass,Autumn,Party,Denim
Men,Apple,Summer,Casual,Polyester
Men,Apple,Autumn,Ethnic,Denim
Men,Triangle,Summer,Casual,Wool
Men,Rectangle,Summer,Casual,Denim
Men,Rectangle,Autumn,Party,Twill
Men,Rectangle,Summer,Ethnic,Wool
Women,Hourglass,Winter,Casual,Silk
Men,V-Shape,Autumn,Ethnic,Polyester
Women,Hourglass,Autumn,Gym/Sport,Rayon
Women,Rectangle,Autumn,Party,Silk
Women,Triangle,Summer,Ethnic,Satin
Women,Inverted Triangle,Autumn,Business,Velvet
Women,Inverted Triangle,Spring,Party,Rayon
Women,Inverted Triangle,Autumn,Party,Silk
Men,Apple,Winter,Ethnic,Denim
Women,Hourglass,Autumn,Gym/Sport,Denim
Men,Triangle,Summer,Gym/Sport,Polyester
Women,Round,Winter,Casual,Linen
Men,Triangle,Spring,Party,Wool
Women,Triangle,Spring,Business,Chiffon
Women,Rectangle,Summer,Business,Linen
Men,Rectangle,Summer,Party,Polyester
Women,Round,Winter,Business,Silk
Women,Round,Spring,Party,Rayon
Women,Rectangle,Summer,Gym/Sport,Velvet
Men,Rectangle,Autumn,Ethnic,Wool
Men,Triangle,Spring,Business,Denim
Women,Round,Spring,Business,Rayon
Women,Inverted Triangle,Autumn,Ethnic,Chiffon
Men,Triangle,Spring,Casual,Denim
Men,V-Shape,Summer,Ethnic,Polyester
Men,Rectangle,Spring,Casual,Twill
Women,Round,Spring,Gym/Sport,Linen
Men,Rectangle,Winter,Business,Cotton
Women,Hourglass,Autumn,Party,Rayon
Men,V-Shape,Winter,Gym/Sport,Linen
Women,Rectangle,Winter,Gym/Sport,Linen
Men,Rectangle,Autumn,Casual,Polyester
Women,Triangle,Summer,Casual,Silk
Women,Triangle,Summer,Gym/Sport,Cotton
Men,Rectangle,Autumn,Gym/Sport,Polyester
Men,Rectangle,Spring,Business,Denim
Women,Hourglass,Spring,Party,Velvet
Men,Triangle,Spring,Ethnic,Linen
Women,Rectangle,Spring,Business,Denim
Women,Inverted Triangle,Autumn,Gym/Sport,Satin
Men,Rectangle,Summer,Business,Twill
Men,Triangle,Winter,Casual,Linen
Women,Inverted Triangle,Winter,Gym/Sport,Linen
Men,Triangle,Autumn,Party,Cotton
Women,Rectangle,Summer,Party,Chiffon
Men,Rectangle,Summer,Gym/Sport,Denim
Men,Apple,Winter,Business,Polyester
Men,Rectangle,Summer,Casual,Twill
Men,Apple,Summer,Gym/Sport,Denim
Men,Rectangle,Autumn,Party,Wool
Women,Rectangle,Spring,Party,Chiffon
Women,Rectangle,Autumn,Business,Linen
Women,Triangle,Winter,Business,Cotton
Women,Hourglass,Summer,Party,Velvet
Women,Inverted Triangle,Summer,Ethnic,Velvet
Men,Apple,Autumn,Gym/Sport,Denim
Women,Round,Autumn,Party,Silk
Women,Round,Autumn,Ethnic,Denim
Men,Apple,Summer,Party,Polyester
Women,Triangle,Winter,Ethnic,Cotton
Women,Triangle,Spring,Ethnic,Denim
Men,Apple,Summer,Business,Polyester
Men,Apple,Winter,Ethnic,Denim
Women,Inverted Triangle,Spring,Casual,Rayon
Men,Triangle,Summer,Gym/Sport,Denim
Men,V-Shape,Autumn,Business,Linen
Women,Round,Summer,Business,Cotton
Men,Apple,Winter,Party,Denim
Women,Round,Autumn,Ethnic,Velvet
Women,Hourglass,Summer,Gym/Sport,Cotton
Women,Rectangle,Summer,Business,Chiffon
Women,Inverted Triangle,Winter,Party,Satin
Women,Round,Summer,Casual,Satin
Men,Triangle,Winter,Gym/Sport,Twill
Women,Hourglass,Winter,Party,Linen
Men,Triangle,Winter,Casual,Cotton
Women,Triangle,Summer,Ethnic,Velvet
Men,V-Shape,Winter,Business,Wool
Women,Rectangle,Spring,Gym/Sport,Cotton
Men,V-Shape,Autumn,Ethnic,Twill
Men,Rectangle,Winter,Gym/Sport,Wool
Men,Rectangle,Summer,Gym/Sport,Twill
Women,Inverted Triangle,Summer,Ethnic,Denim
Men,Apple,Winter,Business,Wool
Women,Round,Winter,Party,Chiffon
Men,Apple,Spring,Casual,Wool
Men,Rectangle,Autumn,Business,Polyester
Women,Inverted Triangle,Spring,Gym/Sport,Rayon
Women,Round,Autumn,Party,Denim
Women,Hourglass,Autumn,Ethnic,Silk
Men,Rectangle,Autumn,Gym/Sport,Linen
Women,Triangle,Spring,Business,Linen
Women,Hourglass,Spring,Party,Denim
Women,Rectangle,Winter,Business,Satin
Women,Inverted Triangle,Winter,Ethnic,Velvet
Women,Rectangle,Autumn,Ethnic,Cotton
Women,Hourglass,Autumn,Ethnic,Linen
Women,Round,Spring,Ethnic,Chiffon
Men,Triangle,Autumn,Casual,Cotton
Men,V-Shape,Summer,Ethnic,Linen
Women,Triangle,Winter,Business,Silk
Women,Round,Autumn,Party,Cotton
Women,Triangle,Summer,Business,Satin
Men,V-Shape,Spring,Party,Polyester
Women,Round,Winter,Casual,Rayon
Men,Rectangle,Summer,Ethnic,Cotton
Men,Triangle,Winter,Party,Linen
Men,Rectangle,Spring,Ethnic,Twill
Women,Rectangle,Autumn,Party,Cotton
Women,Triangle,Autumn,Party,Linen
Men,Apple,Winter,Ethnic,Cotton
Women,Triangle,Autumn,Party,Silk
Women,Round,Summer,Party,Satin
Men,V-Shape,Spring,Ethnic,Linen
Men,Apple,Winter,Ethnic,Wool
Men,V-Shape,Winter,Business,Twill
Women,Round,Summer,Business,Rayon
Men,Apple,Summer,Gym/Sport,Linen
Women,Round,Spring,Business,Satin
Women,Triangle,Winter,Casual,Satin
Men,Apple,Spring,Ethnic,Twill
Men,Apple,Summer,Business,Polyester
Men,Apple,Autumn,Casual,Wool
Men,Apple,Summer,Gym/Sport,Wool
Women,Rectangle,Summer,Business,Velvet
Men,Rectangle,Spring,Business,Polyester
Women,Hourglass,Winter,Casual,Cotton
Women,Round,Summer,Casual,Velvet
Men,Triangle,Summer,Ethnic,Polyester
Women,Hourglass,Autumn,Party,Velvet
Men,Rectangle,Spring,Party,Denim
Men,Rectangle,Summer,Gym/Sport,Linen
Men,Rectangle,Spring,Gym/Sport,Polyester
Men,Rectangle,Autumn,Ethnic,Twill
Women,Rectangle,Spring,Casual,Rayon
Men,Triangle,Spring,Gym/Sport,Denim
Women,Hourglass,Summer,Ethnic,Silk
Men,V-Shape,Spring,Casual,Cotton
Women,Rectangle,Summer,Ethnic,Rayon
Men,Triangle,Spring,Business,Cotton
Men,Apple,Summer,Party,Denim
Men,Triangle,Spring,Business,Denim
Men,Triangle,Summer,Casual,Linen
Men,Rectangle,Winter,Casual,Denim
Women,Hourglass,Winter,Casual,Silk
Men,V-Shape,Summer,Gym/Sport,Polyester
Women,Rectangle,Autumn,Party,Linen
Women,Triangle,Spring,Gym/Sport,Denim
Women,Inverted Triangle,Summer,Casual,Silk
Women,Rectangle,Winter,Party,Velvet
Women,Rectangle,Winter,Gym/Sport,Cotton
Women,Round,Winter,Business,Rayon
Women,Round,Spring,Ethnic,Linen
Men,V-Shape,Autumn,Casual,Linen
Men,Triangle,Summer,Ethnic,Polyester
Men,Triangle,Winter,Ethnic,Polyester
Men,Rectangle,Summer,Gym/Sport,Polyester
Men,Apple,Spring,Business,Twill
Women,Rectangle,Autumn,Party,Satin
Women,Rectangle,Summer,Ethnic,Linen
Women,Triangle,Spring,Ethnic,Linen
Men,Rectangle,Spring,Party,Denim
Women,Round,Spring,Business,Denim
Women,Rectangle,Winter,Casual,Velvet
Women,Round,Spring,Party,Rayon
Men,Triangle,Spring,Business,Twill
Men,Rectangle,Summer,Business,Twill
Men,V-Shape,Autumn,Casual,Polyester
Women,Hourglass,Summer,Party,Cotton
Women,Triangle,Winter,Ethnic,Cotton
Men,Apple,Autumn,Gym/Sport,Denim
Men,Triangle,Spring,Ethnic,Denim
Men,V-Shape,Spring,Casual,Wool
Men,Apple,Autumn,Business,Linen
Men,Apple,Spring,Ethnic,Wool
Men,Triangle,Winter,Party,Linen
Men,Apple,Winter,Party,Twill
Women,Round,Spring,Party,Silk
Women,Rectangle,Summer,Casual,Cotton
Women,Hourglass,Autumn,Casual,Rayon
Men,Apple,Spring,Ethnic,Linen
Men,Rectangle,Spring,Gym/Sport,Polyester
Men,Rectangle,Spring,Casual,Twill
Women,Inverted Triangle,Winter,Casual,Silk
Women,Rectangle,Summer,Ethnic,Denim
Men,Triangle,Winter,Gym/Sport,Cotton
Men,Rectangle,Summer,Gym/Sport,Denim
Women,Hourglass,Autumn,Business,Linen
Men,Apple,Spring,Gym/Sport,Polyester
Men,V-Shape,Winter,Casual,Polyester
Men,V-Shape,Summer,Ethnic,Linen
Men,Apple,Summer,Gym/Sport,Wool
Men,Apple,Winter,Gym/Sport,Polyester
Men,Triangle,Summer,Party,Linen
Men,Apple,Winter,Party,Wool
Women,Hourglass,Summer,Gym/Sport,Cotton
Men,Triangle,Summer,Business,Wool
Women,Rectangle,Spring,Gym/Sport,Silk
Women,Round,Summer,Gym/Sport,Cotton
Men,Triangle,Summer,Ethnic,Wool
Men,Rectangle,Spring,Ethnic,Polyester
Men,Apple,Spring,Business,Wool
Women,Triangle,Winter,Casual,Linen
Women,Hourglass,Autumn,Business,Velvet
Women,Triangle,Winter,Gym/Sport,Chiffon
Women,Inverted Triangle,Summer,Party,Cotton
Women,Hourglass,Autumn,Casual,Silk
Men,V-Shape,Winter,Business,Denim
Men,Triangle,Winter,Business,Wool
Women,Round,Summer,Business,Denim
Women,Rectangle,Summer,Ethnic,Cotton
Men,Apple,Winter,Party,Denim
Men,Triangle,Autumn,Casual,Denim
Women,Hourglass,Summer,Casual,Velvet
Women,Round,Spring,Ethnic,Satin
Men,V-Shape,Summer,Party,Wool
Women,Inverted Triangle,Summer,Party,Silk
Women,Hourglass,Winter,Casual,Linen
Women,Triangle,Spring,Casual,Rayon
Men,Apple,Autumn,Casual,Denim
Women,Inverted Triangle,Summer,Gym/Sport,Chiffon
Women,Round,Autumn,Gym/Sport,Linen
Men,Rectangle,Winter,Party,Polyester
Men,Rectangle,Spring,Casual,Denim
Men,V-Shape,Spring,Business,Wool
Women,Triangle,Autumn,Party,Satin
Women,Rectangle,Winter,Business,Chiffon
Women,Triangle,Spring,Business,Chiffon
Men,Triangle,Summer,Casual,Cotton
Men,Apple,Winter,Gym/Sport,Cotton
Men,V-Shape,Summer,Ethnic,Denim
Women,Rectangle,Spring,Casual,Velvet
Women,Hourglass,Summer,Party,Cotton
Men,Triangle,Winter,Ethnic,Cotton
Men,Apple,Summer,Business,Denim
Women,Hourglass,Summer,Casual,Cotton
Women,Round,Summer,Ethnic,Chiffon
Men,Triangle,Spring,Business,Linen
Men,Apple,Winter,Party,Linen
Women,Inverted Triangle,Summer,Gym/Sport,Rayon
Women,Triangle,Winter,Business,Velvet
Women,Rectangle,Spring,Casual,Cotton
Men,Rectangle,Autumn,Business,Denim
Women,Inverted Triangle,Winter,Business,Silk
Men,Triangle,Summer,Business,Cotton
Women,Round,Winter,Gym/Sport,Denim
Men,Apple,Autumn,Business,Polyester
Women,Round,Summer,Casual,Denim
Women,Inverted Triangle,Autumn,Ethnic,Cotton
Women,Rectangle,Spring,Ethnic,Rayon
Women,Triangle,Spring,Business,Linen
Women,Inverted Triangle,Summer,Ethnic,Velvet
Women,Round,Spring,Party,Cotton
Men,V-Shape,Winter,Business,Polyester
Women,Inverted Triangle,Autumn,Ethnic,Linen
Women,Round,Winter,Casual,Satin
Men,Apple,Spring,Gym/Sport,Cotton
Women,Hourglass,Autumn,Casual,Cotton
Men,Apple,Autumn,Party,Polyester
Men,Rectangle,Winter,Party,Wool
Men,V-Shape,Spring,Business,Linen
Women,Rectangle,Summer,Casual,Rayon
Men,Rectangle,Autumn,Ethnic,Wool
Women,Round,Spring,Party,Silk
Women,Rectangle,Spring,Gym/Sport,Silk
Men,V-Shape,Winter,Gym/Sport,Wool
Men,Apple,Winter,Business,Twill
Men,V-Shape,Spring,Business,Cotton
Women,Inverted Triangle,Summer,Business,Satin
Men,V-Shape,Summer,Ethnic,Cotton
Women,Rectangle,Spring,Ethnic,Silk
Women,Rectangle,Autumn,Gym/Sport,Rayon
Women,Triangle,Winter,Ethnic,Denim
Men,Rectangle,Spring,Business,Twill
Men,Triangle,Summer,Ethnic,Linen
Men,Apple,Winter,Gym/Sport,Polyester
Men,Apple,Autumn,Casual,Wool
Women,Triangle,Autumn,Ethnic,Velvet
Men,Rectangle,Summer,Business,Twill
Men,Triangle,Winter,Casual,Twill
Men,V-Shape,Spring,Business,Wool
Women,Inverted Triangle,Summer,Ethnic,Cotton
Men,Triangle,Winter,Casual,Cotton
Men,V-Shape,Spring,Gym/Sport,Twill
Men,V-Shape,Autumn,Business,Polyester
Women,Inverted Triangle,Autumn,Gym/Sport,Chiffon
Women,Triangle,Summer,Party,Silk
Men,V-Shape,Summer,Party,Denim
Women,Triangle,Autumn,Gym/Sport,Silk
Women,Triangle,Summer,Business,Rayon
Men,Apple,Winter,Business,Wool
Men,V-Shape,Autumn,Party,Cotton
Women,Triangle,Winter,Ethnic,Denim
Men,Triangle,Summer,Ethnic,Linen
Women,Triangle,Winter,Ethnic,Cotton
Men,Apple,Winter,Gym/Sport,Denim
Men,V-Shape,Spring,Party,Twill
Men,Apple,Winter,Casual,Cotton
Men,Rectangle,Spring,Party,Polyester
Men,Rectangle,Summer,Casual,Twill
Women,Triangle,Summer,Party,Velvet
Men,Triangle,Winter,Casual,Polyester
Women,Round,Winter,Party,Chiffon
Women,Hourglass,Autumn,Gym/Sport,Linen
Women,Inverted Triangle,Autumn,Ethnic,Silk
Women,Round,Winter,Ethnic,Linen
Men,Triangle,Summer,Party,Cotton
Men,Triangle,Spring,Casual,Twill
Women,Hourglass,Autumn,Party,Chiffon
Women,Hourglass,Spring,Ethnic,Cotton
Men,Rectangle,Summer,Casual,Denim
Women,Hourglass,Winter,Party,Rayon
Women,Inverted Triangle,Winter,Party,Satin
Men,V-Shape,Summer,Party,Twill
Women,Triangle,Spring,Gym/Sport,Cotton
Men,Apple,Spring,Business,Twill
Women,Triangle,Spring,Business,Denim
Women,Round,Autumn,Ethnic,Satin
Women,Rectangle,Spring,Gym/Sport,Denim
Women,Round,Winter,Business,Denim
Women,Round,Winter,Ethnic,Silk
Men,Triangle,Spring,Gym/Sport,Linen
Men,Apple,Autumn,Ethnic,Cotton
Men,Triangle,Summer,Party,Twill
Women,Rectangle,Winter,Party,Velvet
Men,Triangle,Winter,Business,Linen
Women,Triangle,Autumn,Gym/Sport,Rayon
Women,Inverted Triangle,Autumn,Business,Silk
Women,Rectangle,Summer,Ethnic,Silk
Men,Rectangle,Winter,Business,Wool
Men,Triangle,Spring,Business,Linen
Men,V-Shape,Spring,Casual,Polyester
Women,Hourglass,Autumn,Business,Rayon
Men,Triangle,Summer,Casual,Denim
Men,Rectangle,Winter,Party,Wool
Men,Apple,Autumn,Gym/Sport,Polyester
Men,Apple,Winter,Gym/Sport,Denim
Women,Rectangle,Autumn,Business,Satin
Men,Triangle,Autumn,Party,Cotton
Women,Inverted Triangle,Winter,Gym/Sport,Linen
Women,Rectangle,Spring,Business,Cotton
Women,Rectangle,Summer,Gym/Sport,Linen
Women,Rectangle,Summer,Gym/Sport,Satin
Men,Rectangle,Winter,Business,Denim
Men,V-Shape,Summer,Casual,Wool
Women,Round,Summer,Gym/Sport,Chiffon
Men,Apple,Spring,Gym/Sport,Polyester
Women,Triangle,Spring,Party,Denim
Men,Apple,Spring,Party,Polyester
Men,V-Shape,Winter,Business,Denim
Men,V-Shape,Autumn,Party,Polyester
Men,Apple,Autumn,Gym/Sport,Wool
Men,Rectangle,Summer,Party,Twill
Women,Rectangle,Spring,Gym/Sport,Velvet
Women,Inverted Triangle,Spring,Casual,Velvet
Women,Rectangle,Autumn,Business,Denim
Women,Triangle,Winter,Ethnic,Chiffon
Women,Round,Spring,Business,Velvet
Men,Rectangle,Spring,Casual,Cotton
Men,Apple,Summer,Business,Twill
Women,Rectangle,Autumn,Casual,Linen
Women,Triangle,Winter,Party,Velvet
Women,Hourglass,Winter,Business,Linen
Men,Triangle,Autumn,Gym/Sport,Cotton
Women,Inverted Triangle,Autumn,Ethnic,Chiffon
Men,Apple,Summer,Ethnic,Linen
Men,Rectangle,Autumn,Gym/Sport,Twill
Women,Rectangle,Spring,Business,Linen
Men,Rectangle,Summer,Casual,Wool
Women,Inverted Triangle,Autumn,Party,Chiffon
Men,Triangle,Summer,Ethnic,Cotton
Women,Triangle,Winter,Gym/Sport,Linen
Men,Rectangle,Summer,Gym/Sport,Cotton
Women,Hourglass,Spring,Ethnic,Velvet
Men,V-Shape,Summer,Ethnic,Denim
Men,Rectangle,Winter,Ethnic,Twill
Women,Rectangle,Summer,Business,Cotton
Women,Round,Winter,Business,Denim
