gender,body_type,season,occasion,lower_wear,color
Women,Hourglass,Winter,Casual,Trousers,Black
Men,Triangle,Autumn,Party,Chinos,Grey
Women,Hourglass,Autumn,Gym/Sport,Trousers,White
Women,Triangle,Autumn,Party,Leggings,Pink
Men,Apple,Winter,Party,Jeans,Navy Blue
Women,Triangle,Summer,Ethnic,Jeans,Navy Blue
Women,Inverted Triangle,Summer,Party,Skirt,Black
Men,Apple,Winter,Party,Kurta Pajama,Grey
Women,Round,Summer,Gym/Sport,Trousers,Olive
Women,Triangle,Autumn,Gym/Sport,Sharara,Navy Blue
Women,Rectangle,Spring,Ethnic,Trousers,Red
Men,Triangle,Summer,Party,Chinos,Olive
Men,V-Shape,Autumn,Business,Chinos,Navy Blue
Women,Round,Winter,Party,Jeans,Red
Men,Rectangle,Autumn,Casual,Kurta Pajama,Pink
Women,Rectangle,Autumn,Casual,Trousers,Pink
Women,Rectangle,Autumn,Gym/Sport,Trousers,Brown
Men,V-Shape,Autumn,Party,Shorts,Olive
Women,Round,Autumn,Party,Palazzo,Brown
Women,Hourglass,Autumn,Ethnic,Skirt,Blue
Men,V-Shape,Summer,Ethnic,Jeans,Beige
Women,Triangle,Winter,Casual,Skirt,Purple
Women,Hourglass,Spring,Ethnic,Sharara,Red
Women,Inverted Triangle,Spring,Party,Sharara,Red
Women,Round,Autumn,Gym/Sport,Trousers,Brown
Men,V-Shape,Spring,Ethnic,Trousers,Pink
Men,Triangle,Summer,Party,Chinos,Purple
Men,Apple,Summer,Ethnic,Chinos,White
Women,Triangle,Autumn,Business,Salwar,Blue
Women,Triangle,Autumn,Casual,Jeans,Navy Blue
Women,Hourglass,Summer,Ethnic,Salwar,Red
Women,Hourglass,Winter,Casual,Palazzo,Olive
Women,Rectangle,Winter,Business,Trousers,Beige
Women,Inverted Triangle,Autumn,Business,Salwar,Beige
Men,Triangle,Summer,Business,Shorts,Olive
Men,Apple,Autumn,Ethnic,Track Pants,Grey
Women,Round,Autumn,Casual,Palazzo,Purple
Men,V-Shape,Spring,Ethnic,Trousers,Grey
Men,Rectangle,Autumn,Ethnic,Shorts,Grey
Women,Round,Summer,Casual,Jeans,White
Women,Rectangle,Spring,Business,Salwar,Pink
Women,Round,Summer,Business,Trousers,Olive
Women,Inverted Triangle,Winter,Party,Salwar,Navy Blue
Women,Rectangle,Winter,Ethnic,Leggings,Pink
Women,Inverted Triangle,Winter,Ethnic,Jeans,Grey
Men,Rectangle,Spring,Party,Chinos,Olive
Women,Triangle,Winter,Gym/Sport,Leggings,Olive
Men,Triangle,Autumn,Gym/Sport,Jeans,Grey
Men,Triangle,Winter,Party,Trousers,Grey
Men,Apple,Spring,Party,Formal Pants,Beige
Women,Inverted Triangle,Spring,Gym/Sport,Palazzo,Black
Men,Rectangle,Spring,Party,Jeans,Grey
Men,Triangle,Autumn,Gym/Sport,Shorts,Grey
Men,Triangle,Autumn,Ethnic,Chinos,Red
Women,Triangle,Summer,Business,Palazzo,Grey
Men,Triangle,Spring,Gym/Sport,Formal Pants,Purple
Men,V-Shape,Winter,Party,Shorts,Purple
Men,Apple,Summer,Business,Kurta Pajama,Purple
Men,Triangle,Winter,Business,Kurta Pajama,Brown
Men,Apple,Winter,Ethnic,Chinos,Purple
Women,Round,Winter,Gym/Sport,Leggings,Grey
Men,Rectangle,Spring,Casual,Formal Pants,White
Women,Round,Winter,Casual,Jeans,Grey
Men,Rectangle,Spring,Party,Shorts,Grey
Men,Triangle,Spring,Business,Chinos,Pink
Women,Hourglass,Summer,Casual,Trousers,Blue
Men,V-Shape,Winter,Casual,Kurta Pajama,Red
Men,Apple,Winter,Ethnic,Chinos,Olive
Men,Rectangle,Spring,Business,Chinos,Purple
Men,Triangle,Autumn,Business,Track Pants,Black
Women,Round,Summer,Ethnic,Sharara,Olive
Women,Hourglass,Autumn,Gym/Sport,Leggings,Grey
Women,Inverted Triangle,Winter,Party,Skirt,Black
Men,Rectangle,Winter,Party,Trousers,Red
Women,Round,Winter,Business,Sharara,White
Men,Apple,Winter,Gym/Sport,Trousers,Brown
Women,Round,Spring,Business,Palazzo,Red
Women,Hourglass,Summer,Ethnic,Palazzo,Grey
Women,Triangle,Spring,Party,Sharara,Beige
Women,Inverted Triangle,Spring,Gym/Sport,Palazzo,Brown
Women,Triangle,Spring,Casual,Palazzo,Beige
Women,Triangle,Autumn,Party,Palazzo,Red
Men,Rectangle,Winter,Party,Jeans,Grey
Women,Round,Winter,Business,Skirt,Pink
Women,Hourglass,Winter,Casual,Skirt,Purple
Women,Round,Winter,Gym/Sport,Leggings,Navy Blue
Men,V-Shape,Winter,Party,Shorts,Pink
Men,Triangle,Summer,Casual,Formal Pants,Grey
Women,Inverted Triangle,Spring,Party,Trousers,Pink
Men,V-Shape,Winter,Business,Chinos,Beige
Women,Triangle,Autumn,Party,Salwar,Brown
Men,Rectangle,Spring,Party,Trousers,Blue
Women,Round,Summer,Party,Sharara,Olive
Men,V-Shape,Summer,Gym/Sport,Kurta Pajama,Brown
Men,Apple,Winter,Party,Chinos,Grey
Women,Round,Summer,Gym/Sport,Palazzo,Blue
Women,Rectangle,Summer,Ethnic,Skirt,Grey
Women,Rectangle,Autumn,Ethnic,Palazzo,Purple
Men,Rectangle,Spring,Casual,Shorts,Grey
Men,Apple,Winter,Business,Formal Pants,Purple
Men,Apple,Winter,Party,Shorts,Navy Blue
Women,Triangle,Summer,Casual,Jeans,Black
Women,Round,Spring,Casual,Trousers,Purple
Men,V-Shape,Winter,Gym/Sport,Kurta Pajama,Black
Men,Triangle,Spring,Casual,Jeans,White
Women,Round,Winter,Party,Skirt,Olive
Men,Rectangle,Summer,Business,Chinos,White
Women,Round,Spring,Business,Leggings,Black
Women,Rectangle,Autumn,Ethnic,Sharara,Navy Blue
Men,Triangle,Winter,Business,Jeans,Red
Men,V-Shape,Winter,Gym/Sport,Shorts,Olive
Women,Rectangle,Autumn,Party,Palazzo,Black
Men,Triangle,Autumn,Party,Kurta Pajama,Blue
Men,V-Shape,Spring,Ethnic,Track Pants,Red
Women,Hourglass,Summer,Gym/Sport,Sharara,Purple
Men,V-Shape,Winter,Ethnic,Formal Pants,Brown
Women,Triangle,Summer,Business,Palazzo,Blue
Men,V-Shape,Winter,Ethnic,Jeans,Olive
Women,Triangle,Summer,Party,Skirt,Pink
Women,Inverted Triangle,Spring,Ethnic,Salwar,Purple
Women,Rectangle,Spring,Business,Leggings,Olive
Men,Rectangle,Winter,Ethnic,Jeans,Black
Men,Apple,Summer,Casual,Shorts,Black
Women,Hourglass,Winter,Gym/Sport,Salwar,White
Men,V-Shape,Summer,Ethnic,Track Pants,Blue
Women,Round,Winter,Casual,Jeans,Blue
Women,Round,Winter,Ethnic,Palazzo,Navy Blue
Women,Hourglass,Spring,Casual,Jeans,Red
Women,Triangle,Spring,Party,Skirt,Blue
Women,Rectangle,Autumn,Business,Trousers,Navy Blue
Men,V-Shape,Autumn,Gym/Sport,Chinos,Beige
Men,Rectangle,Spring,Casual,Formal Pants,Red
Women,Hourglass,Summer,Ethnic,Trousers,Purple
Women,Rectangle,Summer,Gym/Sport,Salwar,Black
Men,Triangle,Autumn,Casual,Trousers,Blue
Men,Triangle,Spring,Business,Kurta Pajama,Grey
Men,Rectangle,Winter,Casual,Formal Pants,Red
Men,Triangle,Spring,Gym/Sport,Formal Pants,Beige
Men,V-Shape,Winter,Ethnic,Formal Pants,Pink
Men,Apple,Spring,Ethnic,Track Pants,Purple
Men,V-Shape,Spring,Ethnic,Trousers,Purple
Women,Round,Summer,Business,Salwar,Brown
Women,Inverted Triangle,Autumn,Business,Jeans,Black
Men,Apple,Summer,Ethnic,Formal Pants,Red
Men,Rectangle,Summer,Business,Kurta Pajama,White
Men,Triangle,Summer,Ethnic,Shorts,Blue
Women,Inverted Triangle,Winter,Casual,Palazzo,White
Women,Round,Spring,Business,Palazzo,Pink
Women,Rectangle,Spring,Gym/Sport,Skirt,Olive
Men,Triangle,Spring,Casual,Shorts,Red
Men,Triangle,Spring,Gym/Sport,Jeans,Olive
Women,Triangle,Summer,Gym/Sport,Palazzo,Pink
Men,Apple,Spring,Gym/Sport,Shorts,Olive
Men,V-Shape,Summer,Party,Formal Pants,Purple
Women,Rectangle,Winter,Party,Trousers,Pink
Men,Apple,Spring,Ethnic,Track Pants,Red
Men,V-Shape,Summer,Gym/Sport,Track Pants,Black
Men,V-Shape,Summer,Ethnic,Track Pants,Olive
Women,Hourglass,Summer,Party,Jeans,Beige
Men,Apple,Summer,Business,Trousers,Blue
Men,Rectangle,Spring,Casual,Jeans,Black
Women,Triangle,Spring,Casual,Trousers,Pink
Men,V-Shape,Autumn,Party,Shorts,Olive
Men,Triangle,Spring,Ethnic,Trousers,Pink
Women,Hourglass,Autumn,Gym/Sport,Salwar,Blue
Women,Inverted Triangle,Winter,Party,Jeans,Beige
Men,V-Shape,Summer,Ethnic,Kurta Pajama,Grey
Men,V-Shape,Spring,Party,Track Pants,Olive
Women,Triangle,Winter,Ethnic,Trousers,Grey
Men,Rectangle,Spring,Ethnic,Shorts,Grey
Women,Round,Summer,Gym/Sport,Palazzo,Blue
Women,Round,Summer,Casual,Skirt,Purple
Men,Apple,Spring,Casual,Formal Pants,Brown
Women,Round,Spring,Casual,Palazzo,Olive
Women,Inverted Triangle,Spring,Party,Skirt,Brown
Men,Triangle,Autumn,Gym/Sport,Track Pants,Brown
Men,V-Shape,Summer,Casual,Formal Pants,Navy Blue
Men,Apple,Spring,Gym/Sport,Track Pants,Navy Blue
Men,Triangle,Summer,Party,Jeans,Olive
Men,Rectangle,Summer,Casual,Track Pants,Beige
Women,Inverted Triangle,Winter,Gym/Sport,Trousers,White
Women,Round,Winter,Party,Skirt,White
Women,Inverted Triangle,Winter,Casual,Palazzo,Pink
Women,Inverted Triangle,Spring,Business,Sharara,Grey
Women,Triangle,Autumn,Ethnic,Jeans,White
Women,Inverted Triangle,Autumn,Casual,Leggings,Pink
Men,Apple,Winter,Ethnic,Track Pants,Grey
Women,Triangle,Autumn,Casual,Sharara,Blue
Men,V-Shape,Winter,Party,Track Pants,Brown
Women,Rectangle,Summer,Gym/Sport,Skirt,Black
Women,Round,Winter,Party,Leggings,Brown
Men,Triangle,Winter,Gym/Sport,Trousers,Olive
Men,Apple,Summer,Business,Track Pants,Beige
Women,Rectangle,Summer,Business,Palazzo,White
Men,V-Shape,Winter,Ethnic,Formal Pants,Beige
Women,Rectangle,Autumn,Ethnic,Trousers,Red
Women,Triangle,Spring,Business,Salwar,Navy Blue
Women,Rectangle,Summer,Casual,Salwar,Olive
Women,Hourglass,Summer,Ethnic,Sharara,Pink
Women,Hourglass,Spring,Casual,Trousers,Red
Men,Rectangle,Spring,Ethnic,Chinos,Navy Blue
Women,Inverted Triangle,Summer,Business,Trousers,Purple
Women,Inverted Triangle,Autumn,Party,Palazzo,Pink
Men,Triangle,Winter,Party,Trousers,Brown
Men,Triangle,Winter,Ethnic,Kurta Pajama,White
Women,Rectangle,Autumn,Business,Salwar,Grey
Women,Rectangle,Winter,Ethnic,Trousers,Purple
Women,Hourglass,Winter,Business,Leggings,Brown
Men,Rectangle,Winter,Ethnic,Jeans,Olive
Women,Round,Winter,Party,Sharara,Black
Men,Apple,Winter,Casual,Trousers,Brown
Women,Triangle,Winter,Casual,Jeans,White
Men,Triangle,Summer,Ethnic,Kurta Pajama,Black
Women,Inverted Triangle,Winter,Gym/Sport,Skirt,Black
Men,V-Shape,Winter,Gym/Sport,Shorts,Pink
Men,V-Shape,Autumn,Casual,Track Pants,Black
Women,Round,Winter,Party,Leggings,White
Women,Triangle,Summer,Ethnic,Jeans,Black
Men,Triangle,Autumn,Ethnic,Chinos,Pink
Women,Hourglass,Spring,Party,Trousers,Beige
Men,Rectangle,Spring,Party,Jeans,Pink
Men,Rectangle,Summer,Gym/Sport,Kurta Pajama,Blue
Women,Inverted Triangle,Winter,Party,Salwar,Blue
Women,Round,Spring,Casual,Sharara,Red
Women,Triangle,Autumn,Party,Sharara,Pink
Men,V-Shape,Spring,Gym/Sport,Trousers,Blue
Women,Inverted Triangle,Autumn,Ethnic,Salwar,Blue
Women,Inverted Triangle,Spring,Party,Trousers,Red
Men,Triangle,Summer,Casual,Shorts,Grey
Men,Triangle,Winter,Party,Track Pants,Olive
Women,Rectangle,Autumn,Party,Sharara,Purple
Men,Apple,Spring,Business,Kurta Pajama,Blue
Women,Rectangle,Autumn,Gym/Sport,Skirt,Black
Women,Inverted Triangle,Winter,Casual,Salwar,Brown
Women,Round,Spring,Party,Palazzo,Red
Men,Rectangle,Spring,Business,Track Pants,Pink
Men,Rectangle,Autumn,Ethnic,Shorts,Purple
Men,Apple,Spring,Casual,Shorts,Blue
Men,Triangle,Winter,Ethnic,Trousers,Purple
Men,Triangle,Summer,Business,Shorts,White
Men,Apple,Autumn,Ethnic,Jeans,Brown
Men,Triangle,Summer,Casual,Trousers,Purple
Men,Apple,Autumn,Gym/Sport,Trousers,Olive
Women,Hourglass,Autumn,Ethnic,Leggings,Olive
Women,Round,Spring,Business,Trousers,Olive
Women,Triangle,Summer,Gym/Sport,Trousers,Red
Women,Round,Winter,Gym/Sport,Salwar,Blue
Men,V-Shape,Summer,Business,Track Pants,Pink
Men,V-Shape,Winter,Party,Shorts,Beige
Men,Triangle,Spring,Business,Chinos,Blue
Men,Rectangle,Autumn,Business,Track Pants,Olive
Men,Apple,Autumn,Ethnic,Jeans,Grey
Men,V-Shape,Summer,Gym/Sport,Formal Pants,Brown
Women,Rectangle,Autumn,Business,Salwar,Blue
Women,Triangle,Winter,Business,Palazzo,Grey
Women,Inverted Triangle,Winter,Business,Salwar,Red
Men,Rectangle,Autumn,Business,Kurta Pajama,Purple
Women,Round,Autumn,Ethnic,Palazzo,Beige
Men,V-Shape,Winter,Gym/Sport,Formal Pants,Brown
Women,Round,Winter,Business,Leggings,Brown
Women,Triangle,Summer,Business,Sharara,Brown
Women,Inverted Triangle,Autumn,Ethnic,Jeans,Blue
Women,Inverted Triangle,Spring,Ethnic,Sharara,Blue
Men,V-Shape,Summer,Business,Track Pants,Beige
Women,Inverted Triangle,Winter,Gym/Sport,Jeans,Blue
Men,V-Shape,Spring,Business,Kurta Pajama,Black
Men,Triangle,Summer,Party,Jeans,Pink
Women,Inverted Triangle,Spring,Casual,Palazzo,Grey
Women,Rectangle,Autumn,Ethnic,Salwar,White
Men,Apple,Autumn,Business,Shorts,White
Women,Inverted Triangle,Autumn,Gym/Sport,Leggings,Beige
Women,Hourglass,Spring,Gym/Sport,Skirt,Brown
Men,V-Shape,Autumn,Business,Trousers,Grey
Men,Rectangle,Summer,Business,Shorts,Blue
Women,Rectangle,Autumn,Party,Sharara,Black
Men,V-Shape,Autumn,Casual,Track Pants,Olive
Men,Rectangle,Spring,Casual,Jeans,Navy Blue
Women,Rectangle,Summer,Business,Palazzo,Grey
Women,Hourglass,Autumn,Gym/Sport,Sharara,White
Women,Rectangle,Summer,Ethnic,Trousers,Olive
Women,Rectangle,Autumn,Ethnic,Jeans,Black
Men,Triangle,Autumn,Party,Trousers,Pink
Women,Rectangle,Summer,Gym/Sport,Jeans,Pink
Women,Inverted Triangle,Spring,Business,Skirt,Purple
Men,V-Shape,Spring,Business,Formal Pants,Brown
Men,Rectangle,Summer,Business,Formal Pants,Beige
Men,Apple,Summer,Business,Chinos,Purple
Women,Rectangle,Summer,Gym/Sport,Sharara,Olive
Men,Apple,Winter,Business,Shorts,Olive
Women,Triangle,Summer,Party,Trousers,Pink
Men,V-Shape,Winter,Business,Track Pants,Navy Blue
Men,Triangle,Winter,Party,Track Pants,Brown
Men,Triangle,Summer,Party,Track Pants,Purple
Men,Apple,Winter,Party,Jeans,Pink
Men,V-Shape,Winter,Party,Track Pants,Brown
Women,Round,Summer,Party,Salwar,White
Women,Inverted Triangle,Summer,Party,Skirt,Black
Men,V-Shape,Autumn,Party,Jeans,Navy Blue
Women,Triangle,Summer,Business,Jeans,White
Men,Triangle,Spring,Ethnic,Formal Pants,White
Men,Apple,Spring,Casual,Shorts,Red
Women,Triangle,Spring,Casual,Trousers,Navy Blue
Men,Rectangle,Winter,Business,Track Pants,Blue
Men,Triangle,Spring,Business,Shorts,White
Women,Inverted Triangle,Spring,Casual,Palazzo,Grey
Women,Rectangle,Spring,Gym/Sport,Palazzo,Black
Women,Round,Summer,Party,Jeans,Brown
Women,Hourglass,Autumn,Ethnic,Leggings,Brown
Men,V-Shape,Summer,Gym/Sport,Track Pants,Purple
Women,Round,Autumn,Business,Sharara,Grey
Men,Triangle,Winter,Business,Chinos,Navy Blue
Women,Round,Spring,Business,Leggings,Pink
Men,Apple,Autumn,Ethnic,Trousers,Blue
Women,Rectangle,Summer,Gym/Sport,Salwar,Red
Women,Hourglass,Winter,Ethnic,Skirt,Beige
Men,V-Shape,Spring,Business,Formal Pants,Grey
Women,Triangle,Summer,Casual,Skirt,Navy Blue
Men,Rectangle,Autumn,Ethnic,Chinos,Pink
Men,Rectangle,Autumn,Party,Chinos,Grey
Men,Triangle,Autumn,Gym/Sport,Kurta Pajama,Purple
Women,Round,Autumn,Casual,Trousers,Navy Blue
Men,Rectangle,Autumn,Business,Trousers,Olive
Men,Rectangle,Summer,Casual,Shorts,Olive
Men,Apple,Autumn,Gym/Sport,Shorts,Navy Blue
Women,Hourglass,Autumn,Party,Trousers,Purple
Men,Rectangle,Spring,Ethnic,Formal Pants,Black
Women,Round,Summer,Business,Trousers,Beige
Men,Triangle,Spring,Business,Track Pants,Brown
Women,Rectangle,Summer,Ethnic,Jeans,Navy Blue
Women,Inverted Triangle,Autumn,Casual,Leggings,Pink
Women,Triangle,Spring,Business,Jeans,Beige
Men,Triangle,Autumn,Business,Kurta Pajama,Brown
Women,Triangle,Winter,Casual,Palazzo,Brown
Men,Triangle,Summer,Gym/Sport,Chinos,Navy Blue
Women,Inverted Triangle,Spring,Party,Leggings,Beige
Women,Hourglass,Autumn,Business,Sharara,Olive
Women,Rectangle,Summer,Party,Leggings,Black
Women,Triangle,Spring,Party,Leggings,Beige
Men,Triangle,Spring,Ethnic,Track Pants,Purple
Men,V-Shape,Summer,Ethnic,Trousers,Red
Men,Rectangle,Summer,Party,Chinos,Purple
Men,V-Shape,Autumn,Party,Kurta Pajama,Pink
Men,V-Shape,Summer,Gym/Sport,Trousers,Blue
Women,Inverted Triangle,Autumn,Party,Trousers,Blue
Men,Triangle,Winter,Casual,Chinos,Olive
Women,Hourglass,Winter,Gym/Sport,Salwar,Blue
Women,Rectangle,Winter,Business,Palazzo,Purple
Women,Hourglass,Spring,Business,Salwar,Pink
Men,Apple,Summer,Business,Jeans,Red
Men,Rectangle,Autumn,Ethnic,Kurta Pajama,Red
Women,Rectangle,Summer,Party,Jeans,Grey
Women,Triangle,Winter,Business,Palazzo,Purple
Men,Rectangle,Summer,Party,Track Pants,Navy Blue
Men,Triangle,Winter,Ethnic,Track Pants,Red
Women,Rectangle,Autumn,Ethnic,Leggings,Brown
Women,Inverted Triangle,Summer,Gym/Sport,Salwar,Olive
Men,Apple,Winter,Party,Kurta Pajama,Purple
Men,V-Shape,Summer,Gym/Sport,Chinos,Grey
Women,Rectangle,Summer,Party,Leggings,Brown
Women,Rectangle,Autumn,Ethnic,Leggings,Blue
Women,Hourglass,Autumn,Business,Skirt,Beige
Women,Inverted Triangle,Winter,Casual,Skirt,Black
Men,Apple,Winter,Ethnic,Shorts,Black
Men,Rectangle,Summer,Business,Kurta Pajama,Purple
Men,Apple,Spring,Casual,Jeans,Blue
Men,Apple,Spring,Casual,Track Pants,Beige
Men,Triangle,Autumn,Ethnic,Jeans,Purple
Men,Triangle,Winter,Casual,Chinos,Brown
Women,Inverted Triangle,Summer,Business,Trousers,Pink
Women,Triangle,Winter,Party,Trousers,Olive
Men,Triangle,Autumn,Casual,Jeans,Olive
Women,Round,Autumn,Party,Jeans,White
Women,Round,Summer,Gym/Sport,Salwar,Black
Men,V-Shape,Winter,Casual,Formal Pants,Olive
Men,Rectangle,Autumn,Ethnic,Trousers,Red
Women,Rectangle,Winter,Business,Skirt,Pink
Men,Apple,Spring,Party,Formal Pants,Beige
Women,Hourglass,Summer,Casual,Palazzo,Pink
Men,Apple,Summer,Business,Chinos,Pink
Women,Inverted Triangle,Winter,Business,Leggings,Pink
Men,Triangle,Spring,Ethnic,Track Pants,Red
Men,Triangle,Summer,Business,Shorts,Olive
Men,Apple,Winter,Business,Kurta Pajama,Red
Men,Rectangle,Autumn,Gym/Sport,Track Pants,Red
Women,Inverted Triangle,Autumn,Ethnic,Palazzo,Navy Blue
Men,V-Shape,Summer,Business,Jeans,Beige
Men,Apple,Autumn,Casual,Kurta Pajama,Pink
Women,Triangle,Spring,Business,Sharara,Purple
Women,Round,Spring,Casual,Sharara,Red
Men,Apple,Autumn,Business,Jeans,Grey
Women,Inverted Triangle,Autumn,Ethnic,Sharara,White
Men,Apple,Autumn,Ethnic,Formal Pants,Blue
Women,Hourglass,Summer,Business,Sharara,Navy Blue
Women,Triangle,Spring,Gym/Sport,Palazzo,Navy Blue
Women,Triangle,Autumn,Ethnic,Sharara,Purple
Women,Inverted Triangle,Summer,Party,Leggings,Brown
Women,Triangle,Autumn,Party,Palazzo,Beige
Men,Rectangle,Spring,Casual,Trousers,White
Men,Rectangle,Winter,Casual,Kurta Pajama,Grey
Women,Hourglass,Autumn,Casual,Jeans,White
Men,Apple,Autumn,Casual,Trousers,Red
Women,Round,Summer,Gym/Sport,Salwar,Olive
Women,Round,Spring,Party,Trousers,Beige
Men,Apple,Spring,Gym/Sport,Shorts,Grey
Women,Round,Spring,Business,Jeans,Blue
Women,Round,Summer,Business,Trousers,Red
Men,Rectangle,Spring,Party,Chinos,Red
Men,V-Shape,Spring,Casual,Kurta Pajama,Grey
Men,Apple,Autumn,Party,Shorts,Purple
Women,Hourglass,Spring,Casual,Palazzo,Navy Blue
Women,Round,Autumn,Casual,Skirt,Pink
Women,Inverted Triangle,Autumn,Business,Jeans,Purple
Women,Hourglass,Autumn,Business,Jeans,Pink
Men,V-Shape,Summer,Business,Trousers,Navy Blue
Men,Apple,Autumn,Casual,Chinos,Purple
Women,Triangle,Summer,Ethnic,Jeans,Pink
Men,Rectangle,Spring,Ethnic,Trousers,Purple
