gender,body_type,season,occasion,upper_cloth,color
Women,Rectangle,Winter,Gym/Sport,Shrug,Red
Women,Inverted Triangle,Summer,Ethnic,Jacket,Green
Women,Hourglass,Spring,Gym/Sport,Blouse,Red
Women,Triangle,Autumn,Party,Kurti,Navy Blue
Men,Rectangle,Spring,Casual,Hoodie,Green
Men,Rectangle,Spring,Ethnic,Kurta,Blue
Men,Apple,Autumn,Casual,Hoodie,Black
Men,Rectangle,Spring,Business,T-Shirt,Navy Blue
Men,Apple,Summer,Party,Jacket,Black
Women,Hourglass,Autumn,Casual,Sweater,Navy Blue
Men,Triangle,Summer,Ethnic,Polo T-Shirt,Blue
Men,Apple,Winter,Gym/Sport,T-Shirt,Red
Women,Triangle,Summer,Party,Kurti,Purple
Men,Rectangle,Summer,Ethnic,Hoodie,Black
Men,Apple,Winter,Ethnic,Blazer,Purple
Men,V-Shape,Winter,Ethnic,Blazer,Yellow
Women,Round,Summer,Business,Shrug,Beige
Women,Triangle,Autumn,Ethnic,Kurti,Black
Men,Triangle,Winter,Casual,Polo T-Shirt,Navy Blue
Men,V-Shape,Winter,Business,Polo T-Shirt,Pink
Women,Round,Winter,Party,Top,Pink
Women,Round,Autumn,Gym/Sport,Shrug,Purple
Women,Rectangle,Autumn,Party,T-Shirt,Pink
Men,Triangle,Spring,Party,Jacket,Beige
Women,Round,Autumn,Gym/Sport,Shrug,Blue
Women,Round,Spring,Business,Shrug,Navy Blue
Men,Apple,Winter,Business,Polo T-Shirt,Black
Men,V-Shape,Summer,Casual,Shirt,Grey
Women,Hourglass,Winter,Business,Jacket,White
Men,Triangle,Spring,Gym/Sport,Polo T-Shirt,Purple
Women,Hourglass,Autumn,Ethnic,Jacket,Red
Men,Rectangle,Summer,Casual,Polo T-Shirt,Red
Women,Rectangle,Spring,Business,Jacket,Blue
Women,Inverted Triangle,Winter,Business,Crop Top,Blue
Women,Rectangle,Summer,Business,Top,Beige
Women,Rectangle,Winter,Party,Sweater,Black
Women,Rectangle,Spring,Party,Shrug,Olive
Women,Rectangle,Spring,Party,Blouse,Blue
Women,Inverted Triangle,Spring,Ethnic,Kurti,Yellow
Women,Hourglass,Spring,Casual,Blouse,Red
Men,Apple,Winter,Casual,Shirt,Pink
Men,Triangle,Spring,Casual,Blazer,Pink
Women,Inverted Triangle,Autumn,Ethnic,Top,Grey
Men,Triangle,Spring,Business,T-Shirt,Navy Blue
Men,Rectangle,Autumn,Business,Shirt,Grey
Women,Rectangle,Summer,Party,Top,Black
Men,V-Shape,Spring,Casual,Hoodie,Grey
Women,Rectangle,Autumn,Business,Sweater,Beige
Women,Round,Winter,Business,Top,Olive
Men,Triangle,Spring,Casual,Blazer,Green
Men,Rectangle,Summer,Party,Sweatshirt,White
Women,Hourglass,Winter,Ethnic,Top,Pink
Men,Rectangle,Summer,Gym/Sport,Blazer,Black
Women,Rectangle,Summer,Business,T-Shirt,Blue
Women,Rectangle,Winter,Party,Shrug,Beige
Women,Rectangle,Summer,Casual,Kurti,White
Men,V-Shape,Winter,Casual,Sweatshirt,Black
Women,Round,Winter,Casual,Shrug,Black
Men,Triangle,Spring,Party,Blazer,Grey
Women,Triangle,Winter,Gym/Sport,Kurti,Navy Blue
Women,Hourglass,Winter,Casual,T-Shirt,Navy Blue
Men,Apple,Spring,Party,Jacket,Blue
Women,Rectangle,Autumn,Gym/Sport,T-Shirt,Navy Blue
Women,Hourglass,Summer,Gym/Sport,Shrug,Grey
Men,Rectangle,Autumn,Business,Kurta,Yellow
Women,Hourglass,Autumn,Party,Kurti,Yellow
Women,Round,Autumn,Business,Top,Red
Women,Inverted Triangle,Autumn,Ethnic,Crop Top,Grey
Women,Inverted Triangle,Summer,Business,Crop Top,Beige
Men,Rectangle,Summer,Business,T-Shirt,Yellow
Women,Round,Autumn,Party,Shrug,Red
Women,Rectangle,Winter,Casual,Jacket,Red
Women,Triangle,Spring,Gym/Sport,Blouse,Red
Women,Rectangle,Summer,Ethnic,T-Shirt,Pink
Women,Inverted Triangle,Winter,Ethnic,Crop Top,Pink
Women,Rectangle,Autumn,Ethnic,Blouse,Blue
Men,Rectangle,Summer,Gym/Sport,Jacket,Green
Women,Hourglass,Summer,Business,Blouse,Beige
Women,Triangle,Autumn,Business,Shrug,Navy Blue
Women,Round,Spring,Party,Blouse,Yellow
Men,Apple,Spring,Ethnic,Sweatshirt,Olive
Women,Inverted Triangle,Winter,Casual,Crop Top,Green
Women,Rectangle,Autumn,Gym/Sport,Blouse,Olive
Men,V-Shape,Summer,Casual,Kurta,Grey
Women,Rectangle,Winter,Party,Sweater,Olive
Men,Triangle,Autumn,Business,T-Shirt,Green
Men,V-Shape,Spring,Party,Hoodie,Yellow
Women,Hourglass,Spring,Ethnic,T-Shirt,White
Men,V-Shape,Autumn,Business,Kurta,Purple
Women,Round,Winter,Business,Sweater,Yellow
Men,Triangle,Winter,Business,Shirt,Blue
Men,Apple,Summer,Casual,Shirt,Purple
Women,Round,Autumn,Business,Top,Grey
Men,Rectangle,Winter,Ethnic,T-Shirt,Green
Women,Hourglass,Summer,Party,Sweater,Red
Men,Apple,Autumn,Business,T-Shirt,Black
Women,Triangle,Winter,Gym/Sport,Crop Top,Blue
Men,Rectangle,Summer,Business,T-Shirt,White
Men,Triangle,Summer,Ethnic,Kurta,Red
Women,Rectangle,Summer,Party,Shrug,Olive
Women,Rectangle,Winter,Gym/Sport,T-Shirt,Blue
Women,Rectangle,Winter,Casual,Jacket,Navy Blue
Women,Inverted Triangle,Spring,Business,Jacket,Blue
Women,Inverted Triangle,Autumn,Ethnic,Sweater,Blue
Women,Round,Autumn,Party,Kurti,Green
Women,Round,Autumn,Gym/Sport,Kurti,Pink
Women,Hourglass,Spring,Ethnic,Blouse,Navy Blue
Women,Inverted Triangle,Autumn,Ethnic,Blouse,Purple
Women,Triangle,Winter,Gym/Sport,Sweater,White
Men,V-Shape,Spring,Ethnic,T-Shirt,Blue
Men,Apple,Autumn,Business,Hoodie,Olive
Women,Round,Summer,Ethnic,Shrug,Olive
Men,Apple,Spring,Business,Polo T-Shirt,Grey
Women,Round,Winter,Ethnic,Crop Top,Purple
Women,Hourglass,Spring,Casual,Sweater,Green
Men,Rectangle,Winter,Casual,Kurta,Navy Blue
Women,Inverted Triangle,Winter,Casual,Crop Top,Olive
Men,Apple,Spring,Party,Kurta,Pink
Men,Rectangle,Spring,Ethnic,T-Shirt,Pink
Women,Rectangle,Winter,Ethnic,Shrug,Beige
Women,Inverted Triangle,Autumn,Casual,Kurti,Purple
Men,Apple,Winter,Casual,Sweatshirt,Pink
Men,V-Shape,Winter,Gym/Sport,Polo T-Shirt,Black
Women,Hourglass,Winter,Casual,Kurti,Grey
Women,Rectangle,Winter,Business,Sweater,Grey
Women,Hourglass,Winter,Casual,Top,Green
Men,Triangle,Spring,Ethnic,Kurta,Navy Blue
Men,Rectangle,Winter,Gym/Sport,Sweatshirt,Navy Blue
Women,Triangle,Summer,Gym/Sport,Crop Top,Purple
Men,Triangle,Winter,Gym/Sport,Kurta,Beige
Women,Rectangle,Autumn,Casual,Kurti,White
Women,Round,Winter,Business,Kurti,Navy Blue
Women,Inverted Triangle,Spring,Ethnic,Blouse,Navy Blue
Men,Rectangle,Winter,Ethnic,Sweatshirt,Navy Blue
Men,Apple,Summer,Business,T-Shirt,Olive
Men,Apple,Winter,Party,Blazer,Pink
Women,Triangle,Summer,Ethnic,Jacket,Green
Men,Apple,Autumn,Ethnic,Hoodie,Yellow
Men,Rectangle,Spring,Ethnic,Kurta,Navy Blue
Men,V-Shape,Winter,Gym/Sport,T-Shirt,Green
Women,Round,Summer,Gym/Sport,Sweater,Pink
Women,Round,Winter,Casual,Blouse,Grey
Women,Rectangle,Summer,Party,Blouse,Grey
Men,Apple,Autumn,Gym/Sport,Sweatshirt,White
Men,Apple,Summer,Casual,Blazer,Grey
Men,Triangle,Autumn,Ethnic,Kurta,Green
Women,Triangle,Winter,Party,Sweater,Blue
Women,Triangle,Winter,Casual,Top,Yellow
Men,V-Shape,Summer,Gym/Sport,Hoodie,Yellow
Women,Triangle,Winter,Gym/Sport,Sweater,Olive
Women,Inverted Triangle,Winter,Ethnic,Crop Top,Blue
Men,Triangle,Summer,Business,Jacket,Purple
Men,Apple,Spring,Casual,Jacket,Red
Women,Hourglass,Summer,Casual,Top,Navy Blue
Women,Rectangle,Summer,Business,Sweater,Red
Men,Triangle,Spring,Business,Hoodie,Yellow
Men,Triangle,Summer,Ethnic,Jacket,Beige
Women,Rectangle,Autumn,Party,Crop Top,Black
Men,Apple,Winter,Business,Polo T-Shirt,Yellow
Men,Triangle,Winter,Business,T-Shirt,Navy Blue
Men,Rectangle,Winter,Party,Kurta,Pink
Men,Apple,Spring,Ethnic,Shirt,Black
Men,Triangle,Autumn,Casual,T-Shirt,Black
Men,V-Shape,Winter,Business,Kurta,Blue
Women,Rectangle,Summer,Party,Jacket,Green
Men,V-Shape,Summer,Ethnic,Sweatshirt,Purple
Men,V-Shape,Autumn,Gym/Sport,Shirt,Navy Blue
Women,Hourglass,Spring,Ethnic,Crop Top,Beige
Men,V-Shape,Summer,Casual,Shirt,Blue
Men,V-Shape,Spring,Party,Shirt,Purple
Men,V-Shape,Autumn,Business,Blazer,Blue
Women,Triangle,Summer,Ethnic,Top,White
Women,Hourglass,Winter,Casual,Blouse,Navy Blue
Men,Rectangle,Spring,Business,Hoodie,Grey
Women,Round,Winter,Party,Jacket,Green
Men,Triangle,Summer,Party,Sweatshirt,Pink
Women,Hourglass,Summer,Casual,Crop Top,Black
Men,Triangle,Winter,Casual,Polo T-Shirt,Olive
Women,Round,Autumn,Business,T-Shirt,Navy Blue
Women,Rectangle,Autumn,Gym/Sport,Shrug,Grey
Women,Round,Spring,Gym/Sport,Crop Top,Pink
Men,V-Shape,Spring,Gym/Sport,T-Shirt,Yellow
Women,Hourglass,Summer,Business,Jacket,Yellow
Women,Round,Autumn,Business,T-Shirt,Blue
Women,Hourglass,Spring,Gym/Sport,Sweater,Purple
Women,Triangle,Winter,Gym/Sport,Kurti,Navy Blue
Men,Triangle,Winter,Casual,Hoodie,Blue
Men,V-Shape,Winter,Business,Blazer,White
Men,Apple,Autumn,Ethnic,T-Shirt,Navy Blue
Women,Triangle,Winter,Gym/Sport,Crop Top,Grey
Men,V-Shape,Autumn,Party,Blazer,Navy Blue
Women,Round,Winter,Business,Kurti,Beige
Men,Rectangle,Winter,Gym/Sport,Jacket,White
Men,Apple,Summer,Party,Polo T-Shirt,Grey
Men,V-Shape,Spring,Gym/Sport,Jacket,Beige
Men,Apple,Winter,Ethnic,Blazer,Yellow
Men,V-Shape,Spring,Ethnic,Blazer,Beige
Men,V-Shape,Summer,Casual,Hoodie,Blue
Men,Triangle,Autumn,Casual,Hoodie,Olive
Women,Inverted Triangle,Autumn,Gym/Sport,Sweater,Blue
Men,Rectangle,Winter,Casual,T-Shirt,Grey
Women,Triangle,Winter,Business,Jacket,Yellow
Men,V-Shape,Winter,Gym/Sport,Sweatshirt,Purple
Men,Triangle,Winter,Gym/Sport,Kurta,Navy Blue
Men,Rectangle,Spring,Casual,Kurta,Yellow
Men,V-Shape,Winter,Gym/Sport,Hoodie,White
Men,Apple,Winter,Business,Kurta,Pink
Men,Triangle,Winter,Business,Sweatshirt,Yellow
Women,Triangle,Spring,Ethnic,Shrug,Beige
Women,Hourglass,Autumn,Casual,Sweater,Purple
Women,Rectangle,Winter,Gym/Sport,T-Shirt,Navy Blue
Men,Apple,Summer,Ethnic,Polo T-Shirt,Olive
Women,Inverted Triangle,Winter,Ethnic,Jacket,Black
Women,Rectangle,Summer,Gym/Sport,T-Shirt,Navy Blue
Women,Hourglass,Autumn,Party,Shrug,Olive
Men,Apple,Spring,Gym/Sport,Shirt,Green
Men,Triangle,Spring,Ethnic,Jacket,Black
Men,V-Shape,Winter,Business,Sweatshirt,Navy Blue
Men,Apple,Winter,Gym/Sport,Sweatshirt,Red
Men,Apple,Spring,Casual,Blazer,Green
Women,Rectangle,Winter,Party,T-Shirt,Grey
Men,Triangle,Spring,Gym/Sport,Jacket,Olive
Men,Triangle,Summer,Party,Kurta,Pink
Women,Triangle,Autumn,Party,T-Shirt,Grey
Women,Triangle,Autumn,Business,Jacket,White
Men,V-Shape,Summer,Ethnic,Sweatshirt,Blue
Women,Rectangle,Summer,Casual,Crop Top,Grey
Men,Rectangle,Autumn,Casual,Blazer,Blue
Women,Hourglass,Autumn,Gym/Sport,Shrug,Yellow
Men,Triangle,Spring,Party,Polo T-Shirt,Green
Women,Round,Autumn,Ethnic,Kurti,Red
Women,Round,Summer,Gym/Sport,Crop Top,Olive
Men,Rectangle,Spring,Casual,Blazer,Navy Blue
Women,Round,Winter,Gym/Sport,Jacket,Blue
Men,Rectangle,Autumn,Ethnic,Kurta,Yellow
Women,Rectangle,Summer,Gym/Sport,Shrug,Pink
Men,Triangle,Winter,Gym/Sport,Kurta,White
Women,Round,Spring,Ethnic,Shrug,Beige
Men,V-Shape,Autumn,Ethnic,Jacket,Blue
Women,Rectangle,Winter,Business,Sweater,Olive
Men,Apple,Winter,Business,T-Shirt,Purple
Women,Triangle,Autumn,Business,T-Shirt,Beige
Men,Triangle,Winter,Party,Jacket,Green
Men,Triangle,Winter,Ethnic,Jacket,Red
Women,Triangle,Winter,Party,Crop Top,Pink
Men,Triangle,Winter,Party,Polo T-Shirt,White
Men,Rectangle,Winter,Gym/Sport,Kurta,Purple
Men,Triangle,Autumn,Business,T-Shirt,Red
Men,Apple,Autumn,Business,Hoodie,Red
Men,Apple,Spring,Ethnic,Polo T-Shirt,Yellow
Women,Rectangle,Winter,Casual,Top,Green
Women,Inverted Triangle,Winter,Business,Shrug,Grey
Women,Rectangle,Spring,Ethnic,Top,Navy Blue
Women,Rectangle,Spring,Gym/Sport,Kurti,Red
Men,Apple,Summer,Gym/Sport,Shirt,Grey
Women,Hourglass,Winter,Gym/Sport,Shrug,Navy Blue
Men,Triangle,Spring,Casual,Polo T-Shirt,Purple
Women,Round,Autumn,Business,Top,Purple
Men,Triangle,Summer,Casual,Jacket,Green
Women,Hourglass,Spring,Casual,Blouse,Navy Blue
Men,V-Shape,Spring,Gym/Sport,Polo T-Shirt,Olive
Men,Triangle,Autumn,Party,Shirt,White
Women,Inverted Triangle,Winter,Business,Sweater,Purple
Women,Rectangle,Summer,Party,Top,Black
Women,Hourglass,Summer,Gym/Sport,Shrug,Green
Men,Triangle,Spring,Gym/Sport,T-Shirt,Red
Men,V-Shape,Spring,Gym/Sport,Shirt,White
Men,Rectangle,Autumn,Business,Shirt,Yellow
Men,Rectangle,Winter,Gym/Sport,T-Shirt,Yellow
Men,Triangle,Winter,Gym/Sport,Jacket,Purple
Women,Triangle,Spring,Business,Sweater,Black
Women,Rectangle,Spring,Ethnic,Shrug,Yellow
Men,Rectangle,Spring,Casual,T-Shirt,Olive
Women,Triangle,Spring,Casual,Kurti,Black
Men,Rectangle,Summer,Gym/Sport,Hoodie,Navy Blue
Women,Rectangle,Spring,Ethnic,Shrug,Pink
Men,Triangle,Autumn,Casual,Sweatshirt,White
Men,V-Shape,Winter,Gym/Sport,Hoodie,Grey
Men,Triangle,Summer,Casual,Sweatshirt,Blue
Men,V-Shape,Autumn,Ethnic,Sweatshirt,Yellow
Men,Apple,Winter,Party,Kurta,Yellow
Women,Inverted Triangle,Winter,Business,T-Shirt,Olive
Men,V-Shape,Autumn,Casual,Hoodie,White
Women,Triangle,Winter,Casual,Top,Pink
Women,Round,Summer,Ethnic,Sweater,Navy Blue
Men,Triangle,Autumn,Casual,Polo T-Shirt,Red
Women,Rectangle,Autumn,Gym/Sport,Top,Yellow
Men,Rectangle,Summer,Party,Hoodie,Navy Blue
Men,Apple,Spring,Business,Sweatshirt,Beige
Women,Inverted Triangle,Spring,Casual,Shrug,Beige
Women,Inverted Triangle,Summer,Party,Top,Black
Women,Round,Spring,Casual,Sweater,Yellow
Women,Inverted Triangle,Spring,Casual,T-Shirt,Red
Women,Hourglass,Winter,Casual,Top,Navy Blue
Men,Triangle,Summer,Business,T-Shirt,Beige
Men,Apple,Spring,Party,Blazer,Yellow
Men,Apple,Summer,Party,Shirt,Blue
Men,Triangle,Autumn,Business,Hoodie,Green
Men,V-Shape,Spring,Casual,Kurta,Beige
Men,Apple,Winter,Casual,Jacket,Beige
Men,V-Shape,Autumn,Gym/Sport,T-Shirt,Pink
Men,Rectangle,Winter,Gym/Sport,Hoodie,Yellow
Men,Rectangle,Winter,Ethnic,Hoodie,Purple
Men,V-Shape,Spring,Business,Jacket,Red
Men,Triangle,Winter,Casual,Jacket,Blue
Men,Triangle,Autumn,Casual,Kurta,Olive
Men,Apple,Autumn,Party,Sweatshirt,Green
Women,Rectangle,Winter,Gym/Sport,Blouse,Green
Men,Triangle,Spring,Gym/Sport,Blazer,Grey
Women,Round,Autumn,Gym/Sport,Crop Top,Navy Blue
Women,Inverted Triangle,Autumn,Gym/Sport,T-Shirt,White
Women,Round,Spring,Gym/Sport,Crop Top,Pink
Men,Rectangle,Summer,Casual,Sweatshirt,Beige
Women,Inverted Triangle,Autumn,Ethnic,T-Shirt,Red
Women,Triangle,Winter,Casual,Crop Top,Grey
Men,Rectangle,Winter,Business,Polo T-Shirt,Navy Blue
Men,Apple,Summer,Gym/Sport,Jacket,Purple
Men,Rectangle,Summer,Ethnic,Hoodie,Yellow
Women,Hourglass,Summer,Ethnic,Jacket,Blue
Men,Rectangle,Winter,Casual,Shirt,Grey
Men,Rectangle,Winter,Ethnic,T-Shirt,Pink
Men,V-Shape,Autumn,Ethnic,T-Shirt,White
Women,Rectangle,Summer,Ethnic,Sweater,White
Women,Rectangle,Winter,Party,Kurti,Beige
Men,V-Shape,Summer,Party,Hoodie,Yellow
Women,Rectangle,Summer,Gym/Sport,Shrug,Pink
Women,Inverted Triangle,Winter,Casual,Kurti,Purple
Women,Hourglass,Winter,Ethnic,Crop Top,Yellow
Women,Inverted Triangle,Autumn,Casual,Top,Navy Blue
Women,Hourglass,Spring,Gym/Sport,Crop Top,Green
Men,Rectangle,Summer,Ethnic,T-Shirt,Grey
Men,Triangle,Spring,Business,Jacket,Blue
Women,Inverted Triangle,Summer,Party,T-Shirt,Blue
Men,Apple,Autumn,Party,Sweatshirt,Purple
Men,Rectangle,Winter,Casual,Polo T-Shirt,Green
Women,Round,Summer,Business,Crop Top,Grey
Women,Inverted Triangle,Summer,Party,Top,Grey
Women,Triangle,Autumn,Ethnic,Kurti,Navy Blue
Women,Triangle,Summer,Business,Sweater,White
Men,Triangle,Spring,Gym/Sport,Kurta,Grey
Women,Triangle,Autumn,Business,Top,Yellow
Women,Hourglass,Winter,Casual,Shrug,Red
Men,V-Shape,Autumn,Casual,Hoodie,Grey
Men,V-Shape,Summer,Casual,Kurta,Grey
Women,Triangle,Summer,Ethnic,Jacket,Olive
Men,Apple,Autumn,Business,T-Shirt,Pink
Men,V-Shape,Spring,Gym/Sport,Kurta,Black
Men,V-Shape,Spring,Gym/Sport,Blazer,Navy Blue
Men,Triangle,Spring,Gym/Sport,T-Shirt,Navy Blue
Men,V-Shape,Autumn,Casual,T-Shirt,Black
Women,Round,Spring,Gym/Sport,Shrug,Blue
Men,Triangle,Winter,Party,Sweatshirt,Yellow
Women,Rectangle,Summer,Gym/Sport,T-Shirt,Blue
Men,Apple,Winter,Party,Sweatshirt,Pink
Women,Inverted Triangle,Summer,Ethnic,Shrug,Purple
Women,Triangle,Winter,Ethnic,Blouse,Blue
Men,V-Shape,Winter,Ethnic,Hoodie,Olive
Women,Triangle,Winter,Ethnic,T-Shirt,Pink
Men,Apple,Autumn,Business,Kurta,Yellow
Men,V-Shape,Winter,Casual,Polo T-Shirt,Blue
Men,Rectangle,Summer,Casual,T-Shirt,White
Men,Rectangle,Autumn,Casual,Jacket,Red
Women,Round,Autumn,Casual,Shrug,Purple
Women,Triangle,Summer,Business,Top,Black
Men,Rectangle,Summer,Gym/Sport,T-Shirt,White
Men,Rectangle,Summer,Gym/Sport,Polo T-Shirt,Red
Men,Rectangle,Summer,Gym/Sport,Shirt,White
Men,V-Shape,Autumn,Casual,Hoodie,Black
Women,Triangle,Summer,Casual,Crop Top,Grey
Men,Rectangle,Summer,Business,Shirt,Navy Blue
Women,Round,Autumn,Business,Jacket,Red
Women,Hourglass,Spring,Casual,Jacket,White
Women,Rectangle,Autumn,Casual,Jacket,Purple
Men,Apple,Summer,Gym/Sport,Polo T-Shirt,Yellow
Men,V-Shape,Winter,Ethnic,Polo T-Shirt,Navy Blue
Women,Inverted Triangle,Winter,Ethnic,Top,White
Women,Round,Winter,Ethnic,Shrug,Purple
Men,V-Shape,Spring,Casual,T-Shirt,Red
Women,Triangle,Summer,Gym/Sport,Jacket,Black
Women,Round,Winter,Business,Sweater,Green
Men,Apple,Summer,Gym/Sport,Jacket,White
Men,Rectangle,Summer,Party,Polo T-Shirt,Purple
Women,Round,Winter,Business,Blouse,Black
Men,Apple,Summer,Ethnic,Hoodie,Olive
Women,Inverted Triangle,Autumn,Gym/Sport,Crop Top,Grey
Women,Rectangle,Summer,Gym/Sport,Shrug,White
Women,Hourglass,Winter,Casual,Kurti,Red
Women,Inverted Triangle,Autumn,Gym/Sport,Kurti,Red
Men,Apple,Summer,Ethnic,Shirt,Red
Women,Hourglass,Summer,Gym/Sport,Top,Yellow
Men,V-Shape,Spring,Ethnic,Blazer,Grey
Men,Apple,Winter,Ethnic,Blazer,Black
Men,Apple,Spring,Casual,Polo T-Shirt,Red
Women,Triangle,Winter,Casual,T-Shirt,White
Men,Rectangle,Winter,Gym/Sport,Polo T-Shirt,Pink
Men,Apple,Winter,Ethnic,Hoodie,Red
Women,Inverted Triangle,Winter,Gym/Sport,Sweater,Red
Men,Rectangle,Autumn,Business,Blazer,Beige
Men,V-Shape,Summer,Gym/Sport,T-Shirt,Green
Women,Round,Autumn,Ethnic,Top,Navy Blue
Women,Hourglass,Spring,Business,T-Shirt,Grey
Women,Round,Autumn,Casual,Top,Purple
Women,Inverted Triangle,Winter,Party,Sweater,Olive
Women,Rectangle,Autumn,Party,T-Shirt,Yellow
Women,Inverted Triangle,Winter,Gym/Sport,Shrug,White
Men,Triangle,Winter,Casual,Blazer,Red
Men,V-Shape,Spring,Ethnic,Hoodie,Red
Women,Triangle,Winter,Business,Kurti,Olive
Women,Round,Spring,Business,Jacket,Olive
Women,Round,Autumn,Ethnic,Sweater,Olive
Men,Triangle,Summer,Business,Kurta,Yellow
Men,Apple,Autumn,Ethnic,Hoodie,Red
Women,Inverted Triangle,Summer,Party,T-Shirt,Green
Men,Apple,Spring,Business,Jacket,Olive
Men,Rectangle,Winter,Gym/Sport,Blazer,Olive
Men,V-Shape,Autumn,Ethnic,Kurta,Black
Women,Inverted Triangle,Autumn,Casual,Sweater,Grey
Men,Triangle,Summer,Party,Jacket,Pink
Women,Inverted Triangle,Winter,Business,Top,Pink
Men,Triangle,Winter,Ethnic,Sweatshirt,Navy Blue
Women,Triangle,Autumn,Business,Jacket,Beige
Women,Triangle,Autumn,Ethnic,Shrug,Green
Men,V-Shape,Spring,Gym/Sport,Hoodie,Red
Men,Rectangle,Autumn,Party,T-Shirt,Green
Women,Rectangle,Winter,Gym/Sport,Crop Top,Green
Men,Apple,Autumn,Casual,Jacket,Black
Men,Apple,Summer,Casual,Sweatshirt,Beige
Women,Round,Winter,Party,Top,Purple
Men,Apple,Spring,Ethnic,Shirt,Beige
Women,Inverted Triangle,Autumn,Casual,Blouse,White
Men,Triangle,Spring,Ethnic,Jacket,Yellow
Women,Rectangle,Summer,Gym/Sport,T-Shirt,Navy Blue
Men,V-Shape,Autumn,Gym/Sport,Sweatshirt,White
Women,Hourglass,Winter,Gym/Sport,Blouse,White
Women,Round,Autumn,Business,Shrug,Olive
Women,Rectangle,Autumn,Ethnic,Jacket,Beige
Men,V-Shape,Spring,Gym/Sport,Jacket,Red
Men,Triangle,Spring,Business,Sweatshirt,Olive
Men,Triangle,Summer,Gym/Sport,Sweatshirt,Green
Women,Hourglass,Spring,Casual,T-Shirt,Grey
Women,Triangle,Winter,Casual,Sweater,Navy Blue
