gender,body_type,season,occasion,accessories
Women,Rectangle,Summer,Gym/Sport,Handbag
Men,Rectangle,Spring,Business,Leather Shoes
Women,Rectangle,Spring,Business,Earrings
Women,Rectangle,Winter,Ethnic,Watch
Men,Triangle,Autumn,Business,Leather Shoes
Women,Triangle,Spring,Casual,Clutch
Women,Triangle,Spring,Ethnic,Watch
Men,V-Shape,Summer,Ethnic,Leather Shoes
Men,Triangle,Spring,Casual,Leather Shoes
Women,Triangle,Winter,Business,Clutch
Women,Rectangle,Autumn,Party,Scarf
Men,Apple,Spring,Gym/Sport,Leather Shoes
Men,V-Shape,Summer,Business,Sneakers
Men,V-Shape,Autumn,Party,Sneakers
Men,Rectangle,Summer,Casual,Tie
Men,Apple,Winter,Ethnic,Tie
Women,Triangle,Spring,Business,Watch
Men,Apple,Autumn,Casual,Leather Shoes
Women,Hourglass,Spring,Business,Scarf
Men,Rectangle,Autumn,Party,Sneakers
Women,Rectangle,Winter,Ethnic,Earrings
Men,Rectangle,Summer,Party,Leather Shoes
Women,Rectangle,Winter,Ethnic,Handbag
Men,V-Shape,Autumn,Ethnic,Cufflinks
Women,Hourglass,Spring,Gym/Sport,Watch
Women,Hourglass,Autumn,Party,Handbag
Women,Inverted Triangle,Spring,Ethnic,Watch
Men,Triangle,Summer,Party,Cufflinks
Women,Hourglass,Winter,Business,Scarf
Women,Rectangle,Summer,Party,Watch
Men,Rectangle,Autumn,Gym/Sport,Cap
Women,Hourglass,Winter,Ethnic,Clutch
Men,Rectangle,Autumn,Ethnic,Cufflinks
Women,Round,Winter,Business,Handbag
Men,Apple,Summer,Gym/Sport,Watch
Women,Round,Spring,Ethnic,Clutch
Men,Rectangle,Winter,Ethnic,Watch
Women,Rectangle,Winter,Business,Belt
Men,V-Shape,Spring,Business,Cap
Men,V-Shape,Autumn,Business,Watch
Women,Hourglass,Spring,Gym/Sport,Watch
Men,V-Shape,Winter,Gym/Sport,Sneakers
Women,Hourglass,Spring,Ethnic,Handbag
Women,Round,Winter,Business,Scarf
Men,Rectangle,Winter,Casual,Cufflinks
Men,Triangle,Spring,Gym/Sport,Tie
Men,Apple,Summer,Business,Sneakers
Men,V-Shape,Winter,Casual,Sneakers
Men,Rectangle,Spring,Ethnic,Cufflinks
Women,Triangle,Summer,Party,Handbag
Women,Inverted Triangle,Winter,Ethnic,Watch
Men,Triangle,Winter,Ethnic,Leather Shoes
Women,Round,Winter,Party,Clutch
Men,Triangle,Winter,Party,Watch
Women,Triangle,Summer,Casual,Watch
Women,Inverted Triangle,Summer,Ethnic,Watch
Men,Apple,Winter,Gym/Sport,Cap
Women,Rectangle,Winter,Gym/Sport,Handbag
Men,Apple,Winter,Ethnic,Watch
Men,V-Shape,Spring,Ethnic,Cufflinks
Women,Hourglass,Summer,Casual,Handbag
Women,Triangle,Spring,Business,Heels
Women,Round,Winter,Gym/Sport,Scarf
Men,Rectangle,Spring,Party,Sneakers
Women,Inverted Triangle,Spring,Casual,Earrings
Men,Rectangle,Autumn,Casual,Cap
Women,Inverted Triangle,Autumn,Party,Handbag
Women,Rectangle,Winter,Business,Earrings
Women,Round,Summer,Gym/Sport,Belt
Women,Rectangle,Winter,Casual,Handbag
Men,V-Shape,Spring,Casual,Cap
Women,Rectangle,Summer,Casual,Clutch
Men,Rectangle,Autumn,Ethnic,Watch
Women,Hourglass,Winter,Ethnic,Scarf
Men,Apple,Summer,Gym/Sport,Watch
Men,Triangle,Summer,Business,Tie
Men,Apple,Summer,Gym/Sport,Watch
Men,V-Shape,Winter,Party,Cap
Women,Triangle,Winter,Gym/Sport,Watch
Men,V-Shape,Winter,Business,Cap
Women,Rectangle,Autumn,Ethnic,Handbag
Women,Round,Summer,Gym/Sport,Scarf
Women,Rectangle,Summer,Ethnic,Heels
Men,Apple,Spring,Business,Leather Shoes
Men,Apple,Autumn,Gym/Sport,Tie
Men,Apple,Spring,Party,Sneakers
Men,V-Shape,Winter,Ethnic,Tie
Men,Rectangle,Spring,Casual,Tie
Men,Triangle,Autumn,Gym/Sport,Watch
Women,Triangle,Spring,Business,Clutch
Women,Triangle,Autumn,Party,Clutch
Men,Apple,Spring,Ethnic,Tie
Women,Triangle,Winter,Ethnic,Handbag
Men,Rectangle,Summer,Casual,Watch
Women,Rectangle,Winter,Business,Belt
Women,Round,Summer,Party,Watch
Men,Rectangle,Autumn,Business,Leather Shoes
Women,Hourglass,Winter,Ethnic,Belt
Women,Round,Winter,Party,Heels
Women,Round,Winter,Casual,Heels
Women,Triangle,Spring,Ethnic,Heels
Men,Apple,Summer,Party,Leather Shoes
Men,Apple,Spring,Ethnic,Cap
Men,Rectangle,Spring,Casual,Cufflinks
Women,Rectangle,Autumn,Party,Belt
Women,Triangle,Winter,Gym/Sport,Earrings
Women,Inverted Triangle,Spring,Business,Handbag
Men,V-Shape,Summer,Casual,Leather Shoes
Women,Hourglass,Autumn,Party,Heels
Men,Apple,Summer,Casual,Cufflinks
Men,Apple,Autumn,Ethnic,Leather Shoes
Men,Triangle,Summer,Casual,Sneakers
Men,Rectangle,Summer,Casual,Leather Shoes
Men,Rectangle,Autumn,Party,Cap
Men,Rectangle,Summer,Ethnic,Sneakers
Women,Hourglass,Winter,Casual,Earrings
Men,V-Shape,Autumn,Ethnic,Leather Shoes
Women,Hourglass,Autumn,Gym/Sport,Clutch
Women,Rectangle,Autumn,Party,Scarf
Women,Triangle,Summer,Ethnic,Heels
Women,Inverted Triangle,Autumn,Business,Belt
Women,Inverted Triangle,Spring,Party,Watch
Women,Inverted Triangle,Autumn,Party,Belt
Men,Apple,Winter,Ethnic,Sneakers
Women,Hourglass,Autumn,Gym/Sport,Heels
Men,Triangle,Summer,Gym/Sport,Cufflinks
Women,Round,Winter,Casual,Watch
Men,Triangle,Spring,Party,Tie
Women,Triangle,Spring,Business,Earrings
Women,Rectangle,Summer,Business,Clutch
Men,Rectangle,Summer,Party,Leather Shoes
Women,Round,Winter,Business,Scarf
Women,Round,Spring,Party,Clutch
Women,Rectangle,Summer,Gym/Sport,Clutch
Men,Rectangle,Autumn,Ethnic,Leather Shoes
Men,Triangle,Spring,Business,Cap
Women,Round,Spring,Business,Watch
Women,Inverted Triangle,Autumn,Ethnic,Belt
Men,Triangle,Spring,Casual,Leather Shoes
Men,V-Shape,Summer,Ethnic,Cap
Men,Rectangle,Spring,Casual,Cap
Women,Round,Spring,Gym/Sport,Earrings
Men,Rectangle,Winter,Business,Sneakers
Women,Hourglass,Autumn,Party,Heels
Men,V-Shape,Winter,Gym/Sport,Watch
Women,Rectangle,Winter,Gym/Sport,Clutch
Men,Rectangle,Autumn,Casual,Cap
Women,Triangle,Summer,Casual,Clutch
Women,Triangle,Summer,Gym/Sport,Clutch
Men,Rectangle,Autumn,Gym/Sport,Tie
Men,Rectangle,Spring,Business,Tie
Women,Hourglass,Spring,Party,Earrings
Men,Triangle,Spring,Ethnic,Watch
Women,Rectangle,Spring,Business,Belt
Women,Inverted Triangle,Autumn,Gym/Sport,Earrings
Men,Rectangle,Summer,Business,Leather Shoes
Men,Triangle,Winter,Casual,Cap
Women,Inverted Triangle,Winter,Gym/Sport,Scarf
Men,Triangle,Autumn,Party,Cufflinks
Women,Rectangle,Summer,Party,Earrings
Men,Rectangle,Summer,Gym/Sport,Leather Shoes
Men,Apple,Winter,Business,Cufflinks
Men,Rectangle,Summer,Casual,Cap
Men,Apple,Summer,Gym/Sport,Cap
Men,Rectangle,Autumn,Party,Watch
Women,Rectangle,Spring,Party,Clutch
Women,Rectangle,Autumn,Business,Earrings
Women,Triangle,Winter,Business,Belt
Women,Hourglass,Summer,Party,Watch
Women,Inverted Triangle,Summer,Ethnic,Clutch
Men,Apple,Autumn,Gym/Sport,Cufflinks
Women,Round,Autumn,Party,Heels
Women,Round,Autumn,Ethnic,Earrings
Men,Apple,Summer,Party,Cufflinks
Women,Triangle,Winter,Ethnic,Handbag
Women,Triangle,Spring,Ethnic,Watch
Men,Apple,Summer,Business,Leather Shoes
Men,Apple,Winter,Ethnic,Sneakers
Women,Inverted Triangle,Spring,Casual,Watch
Men,Triangle,Summer,Gym/Sport,Sneakers
Men,V-Shape,Autumn,Business,Sneakers
Women,Round,Summer,Business,Watch
Men,Apple,Winter,Party,Sneakers
Women,Round,Autumn,Ethnic,Earrings
Women,Hourglass,Summer,Gym/Sport,Scarf
Women,Rectangle,Summer,Business,Heels
Women,Inverted Triangle,Winter,Party,Handbag
Women,Round,Summer,Casual,Scarf
Men,Triangle,Winter,Gym/Sport,Leather Shoes
Women,Hourglass,Winter,Party,Handbag
Men,Triangle,Winter,Casual,Watch
Women,Triangle,Summer,Ethnic,Handbag
Men,V-Shape,Winter,Business,Leather Shoes
Women,Rectangle,Spring,Gym/Sport,Scarf
Men,V-Shape,Autumn,Ethnic,Cap
Men,Rectangle,Winter,Gym/Sport,Cap
Men,Rectangle,Summer,Gym/Sport,Watch
Women,Inverted Triangle,Summer,Ethnic,Earrings
Men,Apple,Winter,Business,Tie
Women,Round,Winter,Party,Handbag
Men,Apple,Spring,Casual,Tie
Men,Rectangle,Autumn,Business,Sneakers
Women,Inverted Triangle,Spring,Gym/Sport,Scarf
Women,Round,Autumn,Party,Earrings
Women,Hourglass,Autumn,Ethnic,Handbag
Men,Rectangle,Autumn,Gym/Sport,Sneakers
Women,Triangle,Spring,Business,Earrings
Women,Hourglass,Spring,Party,Belt
Women,Rectangle,Winter,Business,Heels
Women,Inverted Triangle,Winter,Ethnic,Watch
Women,Rectangle,Autumn,Ethnic,Scarf
Women,Hourglass,Autumn,Ethnic,Belt
Women,Round,Spring,Ethnic,Watch
Men,Triangle,Autumn,Casual,Leather Shoes
Men,V-Shape,Summer,Ethnic,Cap
Women,Triangle,Winter,Business,Heels
Women,Round,Autumn,Party,Handbag
Women,Triangle,Summer,Business,Scarf
Men,V-Shape,Spring,Party,Watch
Women,Round,Winter,Casual,Earrings
Men,Rectangle,Summer,Ethnic,Leather Shoes
Men,Triangle,Winter,Party,Cufflinks
Men,Rectangle,Spring,Ethnic,Cap
Women,Rectangle,Autumn,Party,Clutch
Women,Triangle,Autumn,Party,Scarf
Men,Apple,Winter,Ethnic,Cufflinks
Women,Triangle,Autumn,Party,Watch
Women,Round,Summer,Party,Heels
Men,V-Shape,Spring,Ethnic,Cufflinks
Men,Apple,Winter,Ethnic,Leather Shoes
Men,V-Shape,Winter,Business,Cufflinks
Women,Round,Summer,Business,Heels
Men,Apple,Summer,Gym/Sport,Cufflinks
Women,Round,Spring,Business,Earrings
Women,Triangle,Winter,Casual,Scarf
Men,Apple,Spring,Ethnic,Leather Shoes
Men,Apple,Summer,Business,Tie
Men,Apple,Autumn,Casual,Cufflinks
Men,Apple,Summer,Gym/Sport,Sneakers
Women,Rectangle,Summer,Business,Earrings
Men,Rectangle,Spring,Business,Leather Shoes
Women,Hourglass,Winter,Casual,Handbag
Women,Round,Summer,Casual,Watch
Men,Triangle,Summer,Ethnic,Watch
Women,Hourglass,Autumn,Party,Watch
Men,Rectangle,Spring,Party,Watch
Men,Rectangle,Summer,Gym/Sport,Cufflinks
Men,Rectangle,Spring,Gym/Sport,Tie
Men,Rectangle,Autumn,Ethnic,Sneakers
Women,Rectangle,Spring,Casual,Handbag
Men,Triangle,Spring,Gym/Sport,Tie
Women,Hourglass,Summer,Ethnic,Clutch
Men,V-Shape,Spring,Casual,Sneakers
Women,Rectangle,Summer,Ethnic,Handbag
Men,Triangle,Spring,Business,Tie
Men,Apple,Summer,Party,Cap
Men,Triangle,Spring,Business,Tie
Men,Triangle,Summer,Casual,Tie
Men,Rectangle,Winter,Casual,Sneakers
Women,Hourglass,Winter,Casual,Heels
Men,V-Shape,Summer,Gym/Sport,Cufflinks
Women,Rectangle,Autumn,Party,Clutch
Women,Triangle,Spring,Gym/Sport,Earrings
Women,Inverted Triangle,Summer,Casual,Belt
Women,Rectangle,Winter,Party,Heels
Women,Rectangle,Winter,Gym/Sport,Scarf
Women,Round,Winter,Business,Watch
Women,Round,Spring,Ethnic,Handbag
Men,V-Shape,Autumn,Casual,Cufflinks
Men,Triangle,Summer,Ethnic,Tie
Men,Triangle,Winter,Ethnic,Cufflinks
Men,Rectangle,Summer,Gym/Sport,Sneakers
Men,Apple,Spring,Business,Watch
Women,Rectangle,Autumn,Party,Watch
Women,Rectangle,Summer,Ethnic,Handbag
Women,Triangle,Spring,Ethnic,Watch
Men,Rectangle,Spring,Party,Sneakers
Women,Round,Spring,Business,Watch
Women,Rectangle,Winter,Casual,Handbag
Women,Round,Spring,Party,Belt
Men,Triangle,Spring,Business,Sneakers
Men,Rectangle,Summer,Business,Leather Shoes
Men,V-Shape,Autumn,Casual,Cufflinks
Women,Hourglass,Summer,Party,Watch
Women,Triangle,Winter,Ethnic,Heels
Men,Apple,Autumn,Gym/Sport,Cap
Men,Triangle,Spring,Ethnic,Cap
Men,V-Shape,Spring,Casual,Leather Shoes
Men,Apple,Autumn,Business,Watch
Men,Apple,Spring,Ethnic,Tie
Men,Triangle,Winter,Party,Watch
Men,Apple,Winter,Party,Cufflinks
Women,Round,Spring,Party,Watch
Women,Rectangle,Summer,Casual,Earrings
Women,Hourglass,Autumn,Casual,Watch
Men,Apple,Spring,Ethnic,Leather Shoes
Men,Rectangle,Spring,Gym/Sport,Watch
Men,Rectangle,Spring,Casual,Sneakers
Women,Inverted Triangle,Winter,Casual,Belt
Women,Rectangle,Summer,Ethnic,Clutch
Men,Triangle,Winter,Gym/Sport,Sneakers
Men,Rectangle,Summer,Gym/Sport,Leather Shoes
Women,Hourglass,Autumn,Business,Heels
Men,Apple,Spring,Gym/Sport,Cap
Men,V-Shape,Winter,Casual,Leather Shoes
Men,V-Shape,Summer,Ethnic,Watch
Men,Apple,Summer,Gym/Sport,Watch
Men,Apple,Winter,Gym/Sport,Leather Shoes
Men,Triangle,Summer,Party,Tie
Men,Apple,Winter,Party,Leather Shoes
Women,Hourglass,Summer,Gym/Sport,Clutch
Men,Triangle,Summer,Business,Cufflinks
Women,Rectangle,Spring,Gym/Sport,Earrings
Women,Round,Summer,Gym/Sport,Watch
Men,Triangle,Summer,Ethnic,Cap
Men,Rectangle,Spring,Ethnic,Tie
Men,Apple,Spring,Business,Leather Shoes
Women,Triangle,Winter,Casual,Earrings
Women,Hourglass,Autumn,Business,Earrings
Women,Triangle,Winter,Gym/Sport,Handbag
Women,Inverted Triangle,Summer,Party,Belt
Women,Hourglass,Autumn,Casual,Belt
Men,V-Shape,Winter,Business,Watch
Men,Triangle,Winter,Business,Cufflinks
Women,Round,Summer,Business,Scarf
Women,Rectangle,Summer,Ethnic,Heels
Men,Apple,Winter,Party,Tie
Men,Triangle,Autumn,Casual,Sneakers
Women,Hourglass,Summer,Casual,Earrings
Women,Round,Spring,Ethnic,Earrings
Men,V-Shape,Summer,Party,Tie
Women,Inverted Triangle,Summer,Party,Heels
Women,Hourglass,Winter,Casual,Heels
Women,Triangle,Spring,Casual,Earrings
Men,Apple,Autumn,Casual,Sneakers
Women,Inverted Triangle,Summer,Gym/Sport,Handbag
Women,Round,Autumn,Gym/Sport,Watch
Men,Rectangle,Winter,Party,Watch
Men,Rectangle,Spring,Casual,Cufflinks
Men,V-Shape,Spring,Business,Leather Shoes
Women,Triangle,Autumn,Party,Clutch
Women,Rectangle,Winter,Business,Clutch
Women,Triangle,Spring,Business,Scarf
Men,Triangle,Summer,Casual,Sneakers
Men,Apple,Winter,Gym/Sport,Cap
Men,V-Shape,Summer,Ethnic,Sneakers
Women,Rectangle,Spring,Casual,Scarf
Women,Hourglass,Summer,Party,Earrings
Men,Triangle,Winter,Ethnic,Watch
Men,Apple,Summer,Business,Sneakers
Women,Hourglass,Summer,Casual,Heels
Women,Round,Summer,Ethnic,Belt
Men,Triangle,Spring,Business,Tie
Men,Apple,Winter,Party,Watch
Women,Inverted Triangle,Summer,Gym/Sport,Belt
Women,Triangle,Winter,Business,Earrings
Women,Rectangle,Spring,Casual,Handbag
Men,Rectangle,Autumn,Business,Leather Shoes
Women,Inverted Triangle,Winter,Business,Watch
Men,Triangle,Summer,Business,Leather Shoes
Women,Round,Winter,Gym/Sport,Handbag
Men,Apple,Autumn,Business,Watch
Women,Round,Summer,Casual,Handbag
Women,Inverted Triangle,Autumn,Ethnic,Heels
Women,Rectangle,Spring,Ethnic,Watch
Women,Triangle,Spring,Business,Watch
Women,Inverted Triangle,Summer,Ethnic,Heels
Women,Round,Spring,Party,Earrings
Men,V-Shape,Winter,Business,Cufflinks
Women,Inverted Triangle,Autumn,Ethnic,Watch
Women,Round,Winter,Casual,Clutch
Men,Apple,Spring,Gym/Sport,Cap
Women,Hourglass,Autumn,Casual,Clutch
Men,Apple,Autumn,Party,Tie
Men,Rectangle,Winter,Party,Cap
Men,V-Shape,Spring,Business,Cap
Women,Rectangle,Summer,Casual,Earrings
Men,Rectangle,Autumn,Ethnic,Tie
Women,Round,Spring,Party,Watch
Women,Rectangle,Spring,Gym/Sport,Watch
Men,V-Shape,Winter,Gym/Sport,Watch
Men,Apple,Winter,Business,Leather Shoes
Men,V-Shape,Spring,Business,Watch
Women,Inverted Triangle,Summer,Business,Belt
Men,V-Shape,Summer,Ethnic,Sneakers
Women,Rectangle,Spring,Ethnic,Heels
Women,Rectangle,Autumn,Gym/Sport,Handbag
Women,Triangle,Winter,Ethnic,Watch
Men,Rectangle,Spring,Business,Leather Shoes
Men,Triangle,Summer,Ethnic,Watch
Men,Apple,Winter,Gym/Sport,Leather Shoes
Men,Apple,Autumn,Casual,Leather Shoes
Women,Triangle,Autumn,Ethnic,Heels
Men,Rectangle,Summer,Business,Watch
Men,Triangle,Winter,Casual,Tie
Men,V-Shape,Spring,Business,Watch
Women,Inverted Triangle,Summer,Ethnic,Handbag
Men,Triangle,Winter,Casual,Cap
Men,V-Shape,Spring,Gym/Sport,Tie
Men,V-Shape,Autumn,Business,Leather Shoes
Women,Inverted Triangle,Autumn,Gym/Sport,Clutch
Women,Triangle,Summer,Party,Scarf
Men,V-Shape,Summer,Party,Tie
Women,Triangle,Autumn,Gym/Sport,Scarf
Women,Triangle,Summer,Business,Watch
Men,Apple,Winter,Business,Leather Shoes
Men,V-Shape,Autumn,Party,Cap
Women,Triangle,Winter,Ethnic,Watch
Men,Triangle,Summer,Ethnic,Leather Shoes
Women,Triangle,Winter,Ethnic,Earrings
Men,Apple,Winter,Gym/Sport,Cap
Men,V-Shape,Spring,Party,Watch
Men,Apple,Winter,Casual,Cap
Men,Rectangle,Spring,Party,Watch
Men,Rectangle,Summer,Casual,Tie
Women,Triangle,Summer,Party,Handbag
Men,Triangle,Winter,Casual,Cufflinks
Women,Round,Winter,Party,Earrings
Women,Hourglass,Autumn,Gym/Sport,Belt
Women,Inverted Triangle,Autumn,Ethnic,Clutch
Women,Round,Winter,Ethnic,Earrings
Men,Triangle,Summer,Party,Leather Shoes
Men,Triangle,Spring,Casual,Cap
Women,Hourglass,Autumn,Party,Heels
Women,Hourglass,Spring,Ethnic,Belt
Men,Rectangle,Summer,Casual,Cufflinks
Women,Hourglass,Winter,Party,Handbag
Women,Inverted Triangle,Winter,Party,Heels
Men,V-Shape,Summer,Party,Watch
Women,Triangle,Spring,Gym/Sport,Watch
Men,Apple,Spring,Business,Tie
Women,Triangle,Spring,Business,Clutch
Women,Round,Autumn,Ethnic,Handbag
Women,Rectangle,Spring,Gym/Sport,Watch
Women,Round,Winter,Business,Heels
Women,Round,Winter,Ethnic,Scarf
Men,Triangle,Spring,Gym/Sport,Cufflinks
Men,Apple,Autumn,Ethnic,Cufflinks
Men,Triangle,Summer,Party,Cufflinks
Women,Rectangle,Winter,Party,Scarf
Men,Triangle,Winter,Business,Sneakers
Women,Triangle,Autumn,Gym/Sport,Watch
Women,Inverted Triangle,Autumn,Business,Clutch
Women,Rectangle,Summer,Ethnic,Scarf
Men,Rectangle,Winter,Business,Cufflinks
Men,Triangle,Spring,Business,Tie
Men,V-Shape,Spring,Casual,Leather Shoes
Women,Hourglass,Autumn,Business,Clutch
Men,Triangle,Summer,Casual,Watch
Men,Rectangle,Winter,Party,Cap
Men,Apple,Autumn,Gym/Sport,Cufflinks
Men,Apple,Winter,Gym/Sport,Sneakers
Women,Rectangle,Autumn,Business,Watch
Men,Triangle,Autumn,Party,Watch
Women,Inverted Triangle,Winter,Gym/Sport,Belt
Women,Rectangle,Spring,Business,Heels
Women,Rectangle,Summer,Gym/Sport,Heels
Women,Rectangle,Summer,Gym/Sport,Watch
Men,Rectangle,Winter,Business,Sneakers
Men,V-Shape,Summer,Casual,Cufflinks
Women,Round,Summer,Gym/Sport,Clutch
Men,Apple,Spring,Gym/Sport,Sneakers
Women,Triangle,Spring,Party,Belt
Men,Apple,Spring,Party,Cufflinks
Men,V-Shape,Winter,Business,Cap
Men,V-Shape,Autumn,Party,Cap
Men,Apple,Autumn,Gym/Sport,Cufflinks
Men,Rectangle,Summer,Party,Cufflinks
Women,Rectangle,Spring,Gym/Sport,Handbag
Women,Inverted Triangle,Spring,Casual,Handbag
Women,Rectangle,Autumn,Business,Watch
Women,Triangle,Winter,Ethnic,Clutch
Women,Round,Spring,Business,Watch
Men,Rectangle,Spring,Casual,Tie
Men,Apple,Summer,Business,Cufflinks
Women,Rectangle,Autumn,Casual,Belt
Women,Triangle,Winter,Party,Watch
